Carrier occupation on the iband=           1 structure at different time
        iband           ik           kx           ky           kz         E_nk         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit
   index_band      index_k           b1           b2           b3           eV         0.00         0.00         5.00         5.00        10.00        10.00        15.00        15.00        20.00        20.00        25.00        25.00        30.00        30.00        35.00        35.00        40.00        40.00        45.00        45.00        50.00        50.00        55.00        55.00        60.00        60.00        65.00        65.00        70.00        70.00        75.00        75.00        80.00        80.00        85.00        85.00        90.00        90.00        95.00        95.00       100.00       100.00       105.00       105.00       110.00       110.00       115.00       115.00       120.00       120.00       125.00       125.00       130.00       130.00       135.00       135.00       140.00       140.00       145.00       145.00       150.00       150.00       155.00       155.00       160.00       160.00       165.00       165.00       170.00       170.00       175.00       175.00       180.00       180.00       185.00       185.00       190.00       190.00       195.00       195.00       200.00       200.00       205.00       205.00       210.00       210.00       215.00       215.00       220.00       220.00       225.00       225.00       230.00       230.00       235.00       235.00       240.00       240.00       245.00       245.00       250.00       250.00       255.00       255.00       260.00       260.00       265.00       265.00       270.00       270.00       275.00       275.00       280.00       280.00       285.00       285.00       290.00       290.00       295.00       295.00       300.00       300.00       305.00       305.00       310.00       310.00       315.00       315.00       320.00       320.00       325.00       325.00       330.00       330.00       335.00       335.00       340.00       340.00       345.00       345.00       350.00       350.00       355.00       355.00       360.00       360.00       365.00       365.00       370.00       370.00       375.00       375.00       380.00       380.00       385.00       385.00       390.00       390.00       395.00       395.00       400.00       400.00       405.00       405.00       410.00       410.00       415.00       415.00       420.00       420.00       425.00       425.00       430.00       430.00       435.00       435.00       440.00       440.00       445.00       445.00       450.00       450.00       455.00       455.00       460.00       460.00       465.00       465.00       470.00       470.00       475.00       475.00       480.00       480.00       485.00       485.00       490.00       490.00       495.00       495.00       500.00       500.00
            1            1      0.00000      0.00000      0.00000     11.40370      0.00001      0.00000      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00002      0.00002      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00002      0.00001      0.00002      0.00001      0.00001      0.00003      0.00003      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00002      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00002      0.00001      0.00001      0.00002      0.00002      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00000      0.00001      0.00002      0.00001      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00001      0.00001      0.00001      0.00001      0.00002      0.00001      0.00001      0.00001      0.00002      0.00002      0.00002      0.00002
            1            2      0.00000      0.16667      0.00000      9.33960      0.00007      0.00000      0.00006      0.00005      0.00004      0.00004      0.00004      0.00005      0.00003      0.00004      0.00007      0.00004      0.00005      0.00005      0.00005      0.00005      0.00005      0.00004      0.00006      0.00006      0.00006      0.00007      0.00007      0.00006      0.00005      0.00005      0.00005      0.00004      0.00011      0.00011      0.00005      0.00005      0.00009      0.00006      0.00006      0.00005      0.00006      0.00005      0.00010      0.00012      0.00008      0.00007      0.00004      0.00005      0.00005      0.00004      0.00005      0.00004      0.00006      0.00007      0.00005      0.00005      0.00004      0.00004      0.00008      0.00007      0.00004      0.00005      0.00005      0.00006      0.00005      0.00003      0.00003      0.00005      0.00005      0.00005      0.00007      0.00008      0.00006      0.00005      0.00005      0.00005      0.00004      0.00004      0.00007      0.00005      0.00004      0.00005      0.00006      0.00006      0.00005      0.00005      0.00006      0.00005      0.00005      0.00006      0.00005      0.00005      0.00004      0.00005      0.00006      0.00006      0.00005      0.00005      0.00004      0.00006      0.00008      0.00007      0.00005      0.00004      0.00005      0.00006      0.00005      0.00006      0.00004      0.00004      0.00006      0.00005      0.00006      0.00006      0.00005      0.00005      0.00008      0.00006      0.00008      0.00008      0.00007      0.00006      0.00008      0.00007      0.00005      0.00005      0.00005      0.00004      0.00003      0.00004      0.00006      0.00006      0.00004      0.00004      0.00005      0.00004      0.00007      0.00007      0.00005      0.00007      0.00004      0.00005      0.00004      0.00004      0.00005      0.00005      0.00005      0.00005      0.00006      0.00005      0.00005      0.00006      0.00005      0.00005      0.00004      0.00004      0.00006      0.00005      0.00005      0.00006      0.00006      0.00005      0.00005      0.00005      0.00008      0.00007      0.00004      0.00004      0.00008      0.00006      0.00004      0.00005      0.00005      0.00007      0.00008      0.00009      0.00006      0.00005      0.00007      0.00006      0.00005      0.00005      0.00005      0.00007      0.00006      0.00007      0.00006      0.00004      0.00005      0.00005      0.00004      0.00004      0.00006      0.00004      0.00004      0.00005      0.00004      0.00006      0.00004      0.00004      0.00004      0.00004      0.00008      0.00007      0.00005      0.00003
            1            3      0.00000      0.33333      0.00000      4.92940      0.00052      0.00000      0.00046      0.00062      0.00051      0.00071      0.00058      0.00058      0.00042      0.00071      0.00075      0.00111      0.00060      0.00078      0.00053      0.00082      0.00064      0.00058      0.00058      0.00059      0.00064      0.00084      0.00067      0.00070      0.00070      0.00060      0.00066      0.00049      0.00049      0.00050      0.00051      0.00061      0.00040      0.00037      0.00052      0.00083      0.00054      0.00065      0.00074      0.00048      0.00036      0.00056      0.00079      0.00072      0.00064      0.00085      0.00055      0.00055      0.00067      0.00091      0.00080      0.00082      0.00061      0.00061      0.00061      0.00057      0.00054      0.00060      0.00038      0.00051      0.00058      0.00086      0.00042      0.00053      0.00073      0.00084      0.00058      0.00055      0.00047      0.00059      0.00042      0.00043      0.00054      0.00056      0.00045      0.00048      0.00039      0.00039      0.00045      0.00043      0.00048      0.00057      0.00045      0.00050      0.00056      0.00047      0.00043      0.00028      0.00038      0.00047      0.00047      0.00069      0.00048      0.00057      0.00042      0.00050      0.00045      0.00060      0.00037      0.00041      0.00057      0.00061      0.00045      0.00054      0.00037      0.00048      0.00042      0.00040      0.00058      0.00067      0.00047      0.00059      0.00053      0.00033      0.00041      0.00043      0.00067      0.00054      0.00064      0.00095      0.00036      0.00038      0.00035      0.00052      0.00043      0.00050      0.00058      0.00058      0.00033      0.00049      0.00070      0.00072      0.00037      0.00053      0.00047      0.00054      0.00040      0.00043      0.00060      0.00055      0.00037      0.00047      0.00065      0.00055      0.00036      0.00046      0.00032      0.00045      0.00038      0.00067      0.00063      0.00075      0.00050      0.00067      0.00046      0.00067      0.00049      0.00061      0.00061      0.00061      0.00042      0.00045      0.00050      0.00053      0.00050      0.00047      0.00039      0.00037      0.00059      0.00066      0.00060      0.00063      0.00044      0.00034      0.00053      0.00046      0.00042      0.00048      0.00032      0.00044      0.00055      0.00050      0.00040      0.00055      0.00041      0.00029      0.00044      0.00047      0.00049      0.00067      0.00041      0.00051      0.00048      0.00055      0.00040      0.00048      0.00039      0.00053      0.00042      0.00046      0.00055      0.00056
            1            4      0.00000      0.50000      0.00000      1.67950      0.00307      0.00000      0.00464      0.00708      0.00283      0.00460      0.00338      0.01007      0.00308      0.00359      0.00366      0.01012      0.00705      0.00635      0.00320      0.00776      0.00510      0.00764      0.00553      0.00849      0.00555      0.00872      0.00556      0.00778      0.00584      0.01111      0.00551      0.00956      0.00815      0.01016      0.01088      0.01339      0.01796      0.01567      0.01679      0.01411      0.03452      0.04135      0.00700      0.00883      0.03770      0.04027      0.02007      0.02645      0.05082      0.04365      0.02833      0.02290      0.04555      0.04324      0.07270      0.05132      0.05809      0.06192      0.08628      0.07296      0.06328      0.06222      0.04992      0.06720      0.08723      0.06228      0.05300      0.06623      0.15213      0.13339      0.05503      0.07865      0.10037      0.08285      0.14069      0.13097      0.15494      0.16922      0.15387      0.13884      0.10381      0.10859      0.12880      0.11313      0.14733      0.13818      0.09956      0.09310      0.14504      0.10473      0.06935      0.06908      0.16074      0.13592      0.17427      0.18198      0.12620      0.11824      0.14080      0.16263      0.14579      0.11271      0.12491      0.12028      0.14022      0.14057      0.18218      0.15714      0.14164      0.11291      0.15863      0.16464      0.15055      0.16400      0.14904      0.12985      0.18349      0.13527      0.13077      0.12482      0.10563      0.13438      0.11216      0.12062      0.11712      0.11386      0.20352      0.17472      0.14621      0.13794      0.15889      0.15142      0.12732      0.11170      0.16241      0.14736      0.17494      0.20140      0.23265      0.20066      0.15172      0.20374      0.22263      0.18532      0.16323      0.14809      0.28194      0.26953      0.17030      0.16759      0.20227      0.18002      0.22861      0.18103      0.20699      0.16822      0.21624      0.21847      0.10416      0.11736      0.19776      0.18122      0.21057      0.18224      0.20165      0.19756      0.17201      0.17933      0.17917      0.19246      0.17786      0.20232      0.23014      0.20020      0.19721      0.19760      0.17877      0.18551      0.15615      0.19860      0.24261      0.21409      0.22046      0.19870      0.17728      0.14558      0.20689      0.21050      0.22218      0.19689      0.21523      0.17863      0.28964      0.23926      0.24618      0.20399      0.17436      0.21025      0.23852      0.23214      0.25822      0.24630      0.27530      0.26280      0.27829      0.26218
            1            4      0.00000     -0.50000      0.00000      1.67950      0.00307      0.00000      0.00464      0.00708      0.00283      0.00460      0.00338      0.01007      0.00308      0.00359      0.00366      0.01012      0.00705      0.00635      0.00320      0.00776      0.00510      0.00764      0.00553      0.00849      0.00555      0.00872      0.00556      0.00778      0.00584      0.01111      0.00551      0.00956      0.00815      0.01016      0.01088      0.01339      0.01796      0.01567      0.01679      0.01411      0.03452      0.04135      0.00700      0.00883      0.03770      0.04027      0.02007      0.02645      0.05082      0.04365      0.02833      0.02290      0.04555      0.04324      0.07270      0.05132      0.05809      0.06192      0.08628      0.07296      0.06328      0.06222      0.04992      0.06720      0.08723      0.06228      0.05300      0.06623      0.15213      0.13339      0.05503      0.07865      0.10037      0.08285      0.14069      0.13097      0.15494      0.16922      0.15387      0.13884      0.10381      0.10859      0.12880      0.11313      0.14733      0.13818      0.09956      0.09310      0.14504      0.10473      0.06935      0.06908      0.16074      0.13592      0.17427      0.18198      0.12620      0.11824      0.14080      0.16263      0.14579      0.11271      0.12491      0.12028      0.14022      0.14057      0.18218      0.15714      0.14164      0.11291      0.15863      0.16464      0.15055      0.16400      0.14904      0.12985      0.18349      0.13527      0.13077      0.12482      0.10563      0.13438      0.11216      0.12062      0.11712      0.11386      0.20352      0.17472      0.14621      0.13794      0.15889      0.15142      0.12732      0.11170      0.16241      0.14736      0.17494      0.20140      0.23265      0.20066      0.15172      0.20374      0.22263      0.18532      0.16323      0.14809      0.28194      0.26953      0.17030      0.16759      0.20227      0.18002      0.22861      0.18103      0.20699      0.16822      0.21624      0.21847      0.10416      0.11736      0.19776      0.18122      0.21057      0.18224      0.20165      0.19756      0.17201      0.17933      0.17917      0.19246      0.17786      0.20232      0.23014      0.20020      0.19721      0.19760      0.17877      0.18551      0.15615      0.19860      0.24261      0.21409      0.22046      0.19870      0.17728      0.14558      0.20689      0.21050      0.22218      0.19689      0.21523      0.17863      0.28964      0.23926      0.24618      0.20399      0.17436      0.21025      0.23852      0.23214      0.25822      0.24630      0.27530      0.26280      0.27829      0.26218
            1            5      0.00000     -0.33333      0.00000      4.92940      0.00052      0.00000      0.00046      0.00080      0.00051      0.00062      0.00058      0.00072      0.00042      0.00069      0.00075      0.00086      0.00060      0.00062      0.00053      0.00056      0.00064      0.00059      0.00058      0.00066      0.00064      0.00061      0.00067      0.00055      0.00070      0.00057      0.00066      0.00074      0.00049      0.00067      0.00051      0.00058      0.00040      0.00052      0.00052      0.00060      0.00054      0.00054      0.00074      0.00094      0.00036      0.00043      0.00079      0.00078      0.00064      0.00079      0.00055      0.00071      0.00067      0.00103      0.00080      0.00086      0.00061      0.00094      0.00061      0.00060      0.00054      0.00062      0.00038      0.00043      0.00058      0.00060      0.00042      0.00040      0.00073      0.00075      0.00058      0.00070      0.00047      0.00055      0.00042      0.00036      0.00054      0.00057      0.00045      0.00042      0.00039      0.00029      0.00045      0.00052      0.00048      0.00050      0.00045      0.00045      0.00056      0.00059      0.00043      0.00040      0.00038      0.00061      0.00047      0.00067      0.00048      0.00056      0.00042      0.00057      0.00045      0.00050      0.00037      0.00031      0.00057      0.00076      0.00045      0.00067      0.00037      0.00040      0.00042      0.00057      0.00058      0.00054      0.00047      0.00040      0.00053      0.00040      0.00041      0.00041      0.00067      0.00062      0.00064      0.00057      0.00036      0.00049      0.00035      0.00037      0.00043      0.00074      0.00058      0.00060      0.00033      0.00034      0.00070      0.00064      0.00037      0.00037      0.00047      0.00049      0.00040      0.00071      0.00060      0.00056      0.00037      0.00041      0.00065      0.00071      0.00036      0.00055      0.00032      0.00031      0.00038      0.00047      0.00063      0.00061      0.00050      0.00051      0.00046      0.00037      0.00049      0.00053      0.00061      0.00051      0.00042      0.00066      0.00050      0.00074      0.00050      0.00062      0.00039      0.00043      0.00059      0.00067      0.00060      0.00053      0.00044      0.00039      0.00053      0.00049      0.00042      0.00060      0.00032      0.00040      0.00055      0.00061      0.00040      0.00042      0.00041      0.00058      0.00044      0.00037      0.00049      0.00053      0.00041      0.00047      0.00048      0.00078      0.00040      0.00071      0.00039      0.00047      0.00042      0.00060      0.00055      0.00054
            1            6      0.00000     -0.16667      0.00000      9.33960      0.00007      0.00000      0.00006      0.00005      0.00004      0.00005      0.00004      0.00004      0.00003      0.00004      0.00007      0.00004      0.00005      0.00004      0.00005      0.00007      0.00005      0.00006      0.00006      0.00006      0.00006      0.00005      0.00007      0.00008      0.00005      0.00007      0.00005      0.00005      0.00011      0.00007      0.00005      0.00007      0.00009      0.00009      0.00006      0.00005      0.00006      0.00005      0.00010      0.00009      0.00008      0.00007      0.00004      0.00003      0.00005      0.00005      0.00005      0.00006      0.00006      0.00005      0.00005      0.00005      0.00004      0.00007      0.00008      0.00006      0.00004      0.00004      0.00005      0.00004      0.00005      0.00006      0.00003      0.00004      0.00005      0.00004      0.00007      0.00006      0.00006      0.00006      0.00005      0.00005      0.00004      0.00003      0.00007      0.00006      0.00004      0.00004      0.00006      0.00005      0.00005      0.00005      0.00006      0.00004      0.00005      0.00005      0.00005      0.00004      0.00004      0.00006      0.00006      0.00006      0.00005      0.00004      0.00004      0.00005      0.00008      0.00006      0.00005      0.00004      0.00005      0.00006      0.00005      0.00003      0.00004      0.00005      0.00006      0.00008      0.00006      0.00004      0.00005      0.00005      0.00008      0.00007      0.00008      0.00008      0.00007      0.00007      0.00008      0.00005      0.00005      0.00005      0.00005      0.00004      0.00003      0.00005      0.00006      0.00005      0.00004      0.00005      0.00005      0.00005      0.00007      0.00006      0.00005      0.00004      0.00004      0.00006      0.00004      0.00005      0.00005      0.00004      0.00005      0.00007      0.00006      0.00006      0.00005      0.00007      0.00005      0.00006      0.00004      0.00003      0.00006      0.00007      0.00005      0.00006      0.00006      0.00005      0.00005      0.00006      0.00008      0.00007      0.00004      0.00005      0.00008      0.00007      0.00004      0.00006      0.00005      0.00005      0.00008      0.00009      0.00006      0.00006      0.00007      0.00007      0.00005      0.00005      0.00005      0.00006      0.00006      0.00007      0.00006      0.00005      0.00005      0.00005      0.00004      0.00004      0.00006      0.00005      0.00004      0.00005      0.00004      0.00006      0.00004      0.00004      0.00004      0.00005      0.00008      0.00008      0.00005      0.00005
            1            7      0.16667      0.00000      0.00000      9.33960      0.00006      0.00000      0.00005      0.00005      0.00004      0.00006      0.00004      0.00004      0.00005      0.00008      0.00005      0.00005      0.00007      0.00007      0.00005      0.00004      0.00004      0.00005      0.00006      0.00006      0.00004      0.00004      0.00005      0.00005      0.00005      0.00004      0.00009      0.00008      0.00007      0.00007      0.00006      0.00005      0.00007      0.00007      0.00005      0.00007      0.00005      0.00006      0.00008      0.00009      0.00006      0.00005      0.00008      0.00009      0.00004      0.00005      0.00005      0.00006      0.00007      0.00006      0.00005      0.00006      0.00005      0.00006      0.00005      0.00005      0.00003      0.00003      0.00004      0.00004      0.00006      0.00004      0.00003      0.00004      0.00005      0.00006      0.00004      0.00003      0.00006      0.00005      0.00005      0.00004      0.00005      0.00004      0.00004      0.00004      0.00004      0.00005      0.00006      0.00006      0.00006      0.00005      0.00007      0.00005      0.00006      0.00007      0.00007      0.00007      0.00005      0.00006      0.00005      0.00004      0.00003      0.00004      0.00004      0.00005      0.00004      0.00005      0.00005      0.00004      0.00004      0.00004      0.00006      0.00005      0.00004      0.00004      0.00004      0.00004      0.00004      0.00003      0.00005      0.00004      0.00003      0.00003      0.00005      0.00007      0.00004      0.00006      0.00005      0.00005      0.00004      0.00004      0.00006      0.00005      0.00004      0.00004      0.00004      0.00004      0.00005      0.00006      0.00006      0.00006      0.00006      0.00005      0.00006      0.00004      0.00003      0.00005      0.00006      0.00005      0.00005      0.00006      0.00004      0.00003      0.00005      0.00004      0.00005      0.00007      0.00005      0.00007      0.00005      0.00005      0.00005      0.00004      0.00004      0.00006      0.00006      0.00009      0.00005      0.00005      0.00006      0.00006      0.00005      0.00005      0.00007      0.00007      0.00005      0.00006      0.00004      0.00005      0.00004      0.00005      0.00004      0.00005      0.00004      0.00004      0.00007      0.00006      0.00006      0.00005      0.00005      0.00006      0.00005      0.00006      0.00003      0.00004      0.00005      0.00005      0.00004      0.00004      0.00004      0.00004      0.00005      0.00005      0.00005      0.00004      0.00003      0.00004      0.00004      0.00005      0.00004      0.00004
            1            8      0.16667      0.16667      0.00000      6.36850      0.00019      0.00000      0.00018      0.00070      0.00012      0.00062      0.00014      0.00060      0.00017      0.00068      0.00022      0.00047      0.00018      0.00047      0.00020      0.00053      0.00023      0.00059      0.00010      0.00051      0.00021      0.00052      0.00026      0.00049      0.00025      0.00067      0.00016      0.00064      0.00024      0.00049      0.00020      0.00039      0.00016      0.00031      0.00020      0.00038      0.00021      0.00037      0.00024      0.00036      0.00013      0.00028      0.00025      0.00032      0.00025      0.00038      0.00019      0.00039      0.00017      0.00036      0.00029      0.00048      0.00023      0.00031      0.00022      0.00019      0.00025      0.00030      0.00017      0.00029      0.00038      0.00035      0.00020      0.00028      0.00019      0.00027      0.00019      0.00025      0.00019      0.00035      0.00016      0.00027      0.00023      0.00023      0.00021      0.00021      0.00024      0.00024      0.00021      0.00022      0.00026      0.00025      0.00023      0.00020      0.00020      0.00022      0.00023      0.00037      0.00016      0.00020      0.00025      0.00030      0.00023      0.00029      0.00020      0.00031      0.00023      0.00018      0.00033      0.00044      0.00021      0.00032      0.00019      0.00027      0.00019      0.00019      0.00028      0.00029      0.00021      0.00037      0.00034      0.00041      0.00018      0.00023      0.00028      0.00027      0.00025      0.00035      0.00014      0.00018      0.00025      0.00038      0.00022      0.00022      0.00021      0.00031      0.00021      0.00028      0.00025      0.00027      0.00021      0.00027      0.00021      0.00030      0.00026      0.00029      0.00021      0.00033      0.00020      0.00024      0.00028      0.00023      0.00023      0.00026      0.00013      0.00020      0.00030      0.00036      0.00021      0.00031      0.00032      0.00031      0.00024      0.00024      0.00023      0.00022      0.00028      0.00027      0.00019      0.00022      0.00025      0.00026      0.00030      0.00037      0.00028      0.00033      0.00029      0.00033      0.00027      0.00030      0.00029      0.00033      0.00022      0.00027      0.00027      0.00027      0.00018      0.00021      0.00018      0.00018      0.00025      0.00027      0.00025      0.00024      0.00023      0.00026      0.00028      0.00027      0.00030      0.00039      0.00020      0.00028      0.00032      0.00033      0.00017      0.00020      0.00032      0.00034      0.00025      0.00023      0.00027      0.00035
