Carrier occupation on the iband=           1 structure at different time
        iband           ik           kx           ky           kz         E_nk         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit         psit         csit
   index_band      index_k           b1           b2           b3           eV         0.00         0.00         5.00         5.00        10.00        10.00        15.00        15.00        20.00        20.00        25.00        25.00        30.00        30.00        35.00        35.00        40.00        40.00        45.00        45.00        50.00        50.00        55.00        55.00        60.00        60.00        65.00        65.00        70.00        70.00        75.00        75.00        80.00        80.00        85.00        85.00        90.00        90.00        95.00        95.00       100.00       100.00       105.00       105.00       110.00       110.00       115.00       115.00       120.00       120.00       125.00       125.00       130.00       130.00       135.00       135.00       140.00       140.00       145.00       145.00       150.00       150.00       155.00       155.00       160.00       160.00       165.00       165.00       170.00       170.00       175.00       175.00       180.00       180.00       185.00       185.00       190.00       190.00       195.00       195.00       200.00       200.00       205.00       205.00       210.00       210.00       215.00       215.00       220.00       220.00       225.00       225.00       230.00       230.00       235.00       235.00       240.00       240.00       245.00       245.00       250.00       250.00       255.00       255.00       260.00       260.00       265.00       265.00       270.00       270.00       275.00       275.00       280.00       280.00       285.00       285.00       290.00       290.00       295.00       295.00       300.00       300.00       305.00       305.00       310.00       310.00       315.00       315.00       320.00       320.00       325.00       325.00       330.00       330.00       335.00       335.00       340.00       340.00       345.00       345.00       350.00       350.00       355.00       355.00       360.00       360.00       365.00       365.00       370.00       370.00       375.00       375.00       380.00       380.00       385.00       385.00       390.00       390.00       395.00       395.00       400.00       400.00       405.00       405.00       410.00       410.00       415.00       415.00       420.00       420.00       425.00       425.00       430.00       430.00       435.00       435.00       440.00       440.00       445.00       445.00       450.00       450.00       455.00       455.00       460.00       460.00       465.00       465.00       470.00       470.00       475.00       475.00       480.00       480.00       485.00       485.00       490.00       490.00       495.00       495.00       500.00       500.00
            1            1      0.00000      0.00000      0.00000     -7.37600     -0.00000      0.00000      0.00006      0.00030      0.00011      0.00019      0.00005      0.00010      0.00010      0.00014      0.00008      0.00009      0.00006      0.00006      0.00008      0.00010      0.00006      0.00009      0.00006      0.00017      0.00007      0.00017      0.00010      0.00016      0.00012      0.00014      0.00005      0.00008      0.00005      0.00008      0.00004      0.00004      0.00010      0.00010      0.00005      0.00007      0.00009      0.00012      0.00006      0.00008      0.00007      0.00014      0.00005      0.00007      0.00008      0.00012      0.00011      0.00010      0.00007      0.00009      0.00008      0.00010      0.00006      0.00010      0.00006      0.00007      0.00008      0.00008      0.00009      0.00008      0.00014      0.00013      0.00007      0.00007      0.00007      0.00007      0.00010      0.00011      0.00006      0.00007      0.00009      0.00010      0.00007      0.00009      0.00008      0.00011      0.00010      0.00010      0.00007      0.00010      0.00008      0.00009      0.00006      0.00010      0.00008      0.00010      0.00005      0.00007      0.00012      0.00013      0.00005      0.00009      0.00012      0.00008      0.00007      0.00011      0.00003      0.00008      0.00009      0.00010      0.00010      0.00013      0.00007      0.00007      0.00015      0.00018      0.00008      0.00013      0.00005      0.00006      0.00010      0.00010      0.00007      0.00010      0.00007      0.00010      0.00008      0.00013      0.00007      0.00009      0.00011      0.00009      0.00011      0.00013      0.00009      0.00009      0.00013      0.00014      0.00006      0.00007      0.00012      0.00009      0.00007      0.00007      0.00006      0.00008      0.00012      0.00015      0.00006      0.00006      0.00010      0.00010      0.00005      0.00009      0.00006      0.00009      0.00008      0.00011      0.00005      0.00006      0.00009      0.00011      0.00008      0.00011      0.00007      0.00006      0.00009      0.00010      0.00005      0.00004      0.00011      0.00016      0.00008      0.00016      0.00007      0.00007      0.00004      0.00005      0.00006      0.00010      0.00014      0.00015      0.00006      0.00009      0.00007      0.00008      0.00006      0.00007      0.00006      0.00007      0.00014      0.00015      0.00004      0.00006      0.00007      0.00008      0.00007      0.00007      0.00008      0.00013      0.00012      0.00010      0.00009      0.00006      0.00010      0.00012      0.00012      0.00011      0.00004      0.00008      0.00009      0.00010
            1            2      0.00000      0.16667      0.00000     -6.66290      0.00005      0.00000      0.00010      0.00050      0.00013      0.00057      0.00016      0.00061      0.00012      0.00062      0.00011      0.00039      0.00011      0.00042      0.00014      0.00041      0.00012      0.00023      0.00014      0.00033      0.00013      0.00037      0.00021      0.00042      0.00015      0.00029      0.00009      0.00047      0.00011      0.00039      0.00011      0.00018      0.00017      0.00038      0.00012      0.00034      0.00011      0.00032      0.00010      0.00023      0.00010      0.00039      0.00008      0.00023      0.00010      0.00039      0.00012      0.00022      0.00016      0.00025      0.00011      0.00024      0.00014      0.00025      0.00010      0.00032      0.00010      0.00028      0.00015      0.00028      0.00008      0.00021      0.00008      0.00026      0.00012      0.00025      0.00012      0.00026      0.00008      0.00020      0.00015      0.00025      0.00014      0.00018      0.00010      0.00017      0.00010      0.00023      0.00015      0.00025      0.00013      0.00029      0.00014      0.00031      0.00010      0.00026      0.00012      0.00031      0.00014      0.00026      0.00014      0.00020      0.00012      0.00038      0.00022      0.00031      0.00010      0.00033      0.00014      0.00026      0.00013      0.00027      0.00013      0.00029      0.00025      0.00031      0.00014      0.00024      0.00010      0.00013      0.00011      0.00020      0.00016      0.00029      0.00013      0.00023      0.00010      0.00028      0.00008      0.00022      0.00017      0.00022      0.00011      0.00024      0.00010      0.00017      0.00012      0.00019      0.00012      0.00027      0.00014      0.00020      0.00013      0.00029      0.00015      0.00021      0.00011      0.00022      0.00012      0.00016      0.00016      0.00021      0.00013      0.00018      0.00010      0.00019      0.00015      0.00023      0.00014      0.00023      0.00013      0.00029      0.00018      0.00024      0.00014      0.00021      0.00017      0.00019      0.00012      0.00014      0.00015      0.00033      0.00013      0.00016      0.00011      0.00015      0.00009      0.00030      0.00013      0.00023      0.00016      0.00029      0.00012      0.00033      0.00014      0.00025      0.00018      0.00030      0.00011      0.00019      0.00014      0.00020      0.00021      0.00018      0.00011      0.00014      0.00014      0.00024      0.00013      0.00019      0.00012      0.00036      0.00015      0.00021      0.00016      0.00019      0.00012      0.00022      0.00014      0.00021      0.00014      0.00022
            1            3      0.00000      0.33333      0.00000     -4.56820      0.00002      0.00000      0.00046      0.00054      0.00071      0.00075      0.00055      0.00067      0.00060      0.00060      0.00044      0.00063      0.00041      0.00051      0.00064      0.00084      0.00051      0.00080      0.00070      0.00086      0.00034      0.00050      0.00040      0.00073      0.00051      0.00051      0.00037      0.00046      0.00073      0.00068      0.00045      0.00048      0.00044      0.00060      0.00052      0.00039      0.00037      0.00053      0.00051      0.00066      0.00038      0.00046      0.00036      0.00059      0.00045      0.00062      0.00062      0.00098      0.00059      0.00055      0.00070      0.00078      0.00042      0.00060      0.00042      0.00050      0.00053      0.00072      0.00060      0.00071      0.00059      0.00055      0.00047      0.00053      0.00064      0.00094      0.00047      0.00044      0.00031      0.00047      0.00047      0.00063      0.00040      0.00053      0.00032      0.00052      0.00059      0.00074      0.00058      0.00076      0.00047      0.00058      0.00056      0.00040      0.00051      0.00053      0.00039      0.00037      0.00053      0.00096      0.00075      0.00094      0.00071      0.00078      0.00074      0.00080      0.00043      0.00060      0.00057      0.00063      0.00055      0.00067      0.00057      0.00049      0.00069      0.00076      0.00062      0.00068      0.00069      0.00068      0.00071      0.00064      0.00050      0.00089      0.00067      0.00068      0.00045      0.00040      0.00053      0.00078      0.00067      0.00072      0.00037      0.00049      0.00061      0.00063      0.00035      0.00047      0.00049      0.00069      0.00071      0.00101      0.00048      0.00063      0.00090      0.00089      0.00050      0.00055      0.00062      0.00036      0.00054      0.00084      0.00055      0.00079      0.00046      0.00060      0.00079      0.00075      0.00049      0.00038      0.00055      0.00053      0.00050      0.00066      0.00050      0.00076      0.00089      0.00086      0.00044      0.00059      0.00057      0.00071      0.00080      0.00088      0.00060      0.00089      0.00062      0.00094      0.00045      0.00044      0.00040      0.00065      0.00063      0.00057      0.00054      0.00062      0.00052      0.00085      0.00068      0.00089      0.00076      0.00085      0.00074      0.00084      0.00066      0.00079      0.00058      0.00078      0.00069      0.00073      0.00078      0.00090      0.00040      0.00049      0.00060      0.00066      0.00056      0.00040      0.00058      0.00065      0.00070      0.00064
            1            4      0.00000      0.50000      0.00000     -2.35960      0.02177      0.00000      0.08595      0.07223      0.06164      0.05670      0.04525      0.04341      0.05496      0.04579      0.07871      0.06541      0.08342      0.07287      0.08495      0.06928      0.17291      0.10886      0.09756      0.10356      0.15620      0.13291      0.13442      0.12904      0.15980      0.15909      0.15494      0.12710      0.11190      0.08740      0.16267      0.15202      0.18897      0.16054      0.20090      0.16743      0.21343      0.19188      0.16914      0.14795      0.17596      0.15117      0.25726      0.19944      0.11758      0.09370      0.12747      0.11538      0.22651      0.21166      0.18070      0.11552      0.14587      0.15676      0.18390      0.13435      0.13876      0.13567      0.22963      0.17896      0.17951      0.15660      0.21045      0.16704      0.18180      0.15893      0.18086      0.15638      0.26028      0.21989      0.16220      0.13107      0.18830      0.16473      0.11582      0.12345      0.21256      0.18705      0.25722      0.21749      0.17200      0.16452      0.16337      0.15019      0.25899      0.22872      0.13201      0.13191      0.21565      0.18457      0.16172      0.14287      0.21161      0.20859      0.22773      0.19700      0.16119      0.13329      0.13226      0.09873      0.20523      0.18998      0.19758      0.16964      0.18401      0.16825      0.15554      0.14180      0.18020      0.14850      0.12909      0.18142      0.17819      0.16763      0.21093      0.16752      0.20971      0.15612      0.22661      0.16309      0.19008      0.15756      0.16595      0.12398      0.17028      0.15213      0.20585      0.17490      0.19451      0.16980      0.22330      0.17562      0.17464      0.14937      0.22093      0.17775      0.21163      0.19617      0.20509      0.18513      0.15762      0.16144      0.24762      0.22009      0.15343      0.14779      0.18201      0.20546      0.13525      0.12767      0.17793      0.16422      0.12198      0.11624      0.18779      0.16752      0.20313      0.16865      0.21786      0.19371      0.19434      0.15918      0.21070      0.16775      0.17051      0.16893      0.16722      0.14954      0.14275      0.13680      0.22702      0.22590      0.20493      0.17666      0.15837      0.11801      0.15799      0.14843      0.14467      0.13788      0.22169      0.21890      0.19243      0.13227      0.18851      0.18812      0.14660      0.12778      0.15521      0.12992      0.15289      0.14840      0.18408      0.14910      0.13889      0.14141      0.14642      0.15397      0.24287      0.21234      0.18835      0.13960
            1            4      0.00000     -0.50000      0.00000     -2.35960      0.02177      0.00000      0.08595      0.07223      0.06164      0.05670      0.04525      0.04341      0.05496      0.04579      0.07871      0.06541      0.08342      0.07287      0.08495      0.06928      0.17291      0.10886      0.09756      0.10356      0.15620      0.13291      0.13442      0.12904      0.15980      0.15909      0.15494      0.12710      0.11190      0.08740      0.16267      0.15202      0.18897      0.16054      0.20090      0.16743      0.21343      0.19188      0.16914      0.14795      0.17596      0.15117      0.25726      0.19944      0.11758      0.09370      0.12747      0.11538      0.22651      0.21166      0.18070      0.11552      0.14587      0.15676      0.18390      0.13435      0.13876      0.13567      0.22963      0.17896      0.17951      0.15660      0.21045      0.16704      0.18180      0.15893      0.18086      0.15638      0.26028      0.21989      0.16220      0.13107      0.18830      0.16473      0.11582      0.12345      0.21256      0.18705      0.25722      0.21749      0.17200      0.16452      0.16337      0.15019      0.25899      0.22872      0.13201      0.13191      0.21565      0.18457      0.16172      0.14287      0.21161      0.20859      0.22773      0.19700      0.16119      0.13329      0.13226      0.09873      0.20523      0.18998      0.19758      0.16964      0.18401      0.16825      0.15554      0.14180      0.18020      0.14850      0.12909      0.18142      0.17819      0.16763      0.21093      0.16752      0.20971      0.15612      0.22661      0.16309      0.19008      0.15756      0.16595      0.12398      0.17028      0.15213      0.20585      0.17490      0.19451      0.16980      0.22330      0.17562      0.17464      0.14937      0.22093      0.17775      0.21163      0.19617      0.20509      0.18513      0.15762      0.16144      0.24762      0.22009      0.15343      0.14779      0.18201      0.20546      0.13525      0.12767      0.17793      0.16422      0.12198      0.11624      0.18779      0.16752      0.20313      0.16865      0.21786      0.19371      0.19434      0.15918      0.21070      0.16775      0.17051      0.16893      0.16722      0.14954      0.14275      0.13680      0.22702      0.22590      0.20493      0.17666      0.15837      0.11801      0.15799      0.14843      0.14467      0.13788      0.22169      0.21890      0.19243      0.13227      0.18851      0.18812      0.14660      0.12778      0.15521      0.12992      0.15289      0.14840      0.18408      0.14910      0.13889      0.14141      0.14642      0.15397      0.24287      0.21234      0.18835      0.13960
            1            5      0.00000     -0.33333      0.00000     -4.56820      0.00028      0.00000      0.00046      0.00070      0.00071      0.00069      0.00055      0.00063      0.00060      0.00083      0.00044      0.00063      0.00041      0.00046      0.00064      0.00049      0.00051      0.00051      0.00070      0.00102      0.00034      0.00050      0.00040      0.00069      0.00051      0.00066      0.00037      0.00060      0.00073      0.00065      0.00045      0.00053      0.00044      0.00048      0.00052      0.00069      0.00037      0.00040      0.00051      0.00070      0.00038      0.00042      0.00036      0.00045      0.00045      0.00046      0.00062      0.00065      0.00059      0.00057      0.00070      0.00068      0.00042      0.00061      0.00042      0.00049      0.00053      0.00055      0.00060      0.00055      0.00059      0.00075      0.00047      0.00034      0.00064      0.00075      0.00047      0.00044      0.00031      0.00045      0.00047      0.00042      0.00040      0.00042      0.00032      0.00042      0.00059      0.00057      0.00058      0.00047      0.00047      0.00060      0.00056      0.00062      0.00051      0.00068      0.00039      0.00067      0.00053      0.00094      0.00075      0.00088      0.00071      0.00045      0.00074      0.00079      0.00043      0.00072      0.00057      0.00072      0.00055      0.00048      0.00057      0.00055      0.00069      0.00060      0.00062      0.00058      0.00069      0.00064      0.00071      0.00076      0.00050      0.00050      0.00067      0.00099      0.00045      0.00047      0.00053      0.00068      0.00067      0.00073      0.00037      0.00045      0.00061      0.00087      0.00035      0.00055      0.00049      0.00063      0.00071      0.00058      0.00048      0.00074      0.00090      0.00065      0.00050      0.00054      0.00062      0.00052      0.00054      0.00092      0.00055      0.00040      0.00046      0.00069      0.00079      0.00073      0.00049      0.00045      0.00055      0.00063      0.00050      0.00054      0.00050      0.00045      0.00089      0.00066      0.00044      0.00047      0.00057      0.00082      0.00080      0.00091      0.00060      0.00068      0.00062      0.00059      0.00045      0.00131      0.00040      0.00055      0.00063      0.00085      0.00054      0.00085      0.00052      0.00050      0.00068      0.00071      0.00076      0.00113      0.00074      0.00056      0.00066      0.00074      0.00058      0.00086      0.00069      0.00082      0.00078      0.00100      0.00040      0.00060      0.00060      0.00072      0.00056      0.00081      0.00058      0.00051      0.00070      0.00078
            1            6      0.00000     -0.16667      0.00000     -6.66290     -0.00001      0.00000      0.00010      0.00055      0.00013      0.00038      0.00016      0.00057      0.00012      0.00037      0.00011      0.00067      0.00011      0.00053      0.00014      0.00065      0.00012      0.00036      0.00014      0.00046      0.00013      0.00043      0.00021      0.00038      0.00015      0.00029      0.00009      0.00034      0.00011      0.00035      0.00011      0.00024      0.00017      0.00027      0.00012      0.00024      0.00011      0.00030      0.00010      0.00029      0.00010      0.00019      0.00008      0.00021      0.00010      0.00032      0.00012      0.00022      0.00016      0.00024      0.00011      0.00018      0.00014      0.00027      0.00010      0.00037      0.00010      0.00022      0.00015      0.00028      0.00008      0.00017      0.00008      0.00023      0.00012      0.00024      0.00012      0.00020      0.00008      0.00026      0.00015      0.00021      0.00014      0.00029      0.00010      0.00022      0.00010      0.00031      0.00015      0.00027      0.00013      0.00019      0.00014      0.00017      0.00010      0.00019      0.00012      0.00024      0.00014      0.00013      0.00014      0.00023      0.00012      0.00036      0.00022      0.00044      0.00010      0.00020      0.00014      0.00023      0.00013      0.00022      0.00013      0.00024      0.00025      0.00032      0.00014      0.00023      0.00010      0.00017      0.00011      0.00019      0.00016      0.00037      0.00013      0.00026      0.00010      0.00020      0.00008      0.00017      0.00017      0.00029      0.00011      0.00018      0.00010      0.00017      0.00012      0.00025      0.00012      0.00020      0.00014      0.00024      0.00013      0.00025      0.00015      0.00023      0.00011      0.00020      0.00012      0.00014      0.00016      0.00027      0.00013      0.00013      0.00010      0.00017      0.00015      0.00017      0.00014      0.00022      0.00013      0.00016      0.00018      0.00031      0.00014      0.00024      0.00017      0.00025      0.00012      0.00023      0.00015      0.00026      0.00013      0.00019      0.00011      0.00013      0.00009      0.00017      0.00013      0.00022      0.00016      0.00024      0.00012      0.00026      0.00014      0.00037      0.00018      0.00026      0.00011      0.00017      0.00014      0.00020      0.00021      0.00021      0.00011      0.00020      0.00014      0.00020      0.00013      0.00026      0.00012      0.00026      0.00015      0.00013      0.00016      0.00018      0.00012      0.00018      0.00014      0.00023      0.00014      0.00018
            1            7      0.16667      0.00000      0.00000     -6.66290      0.00001      0.00000      0.00010      0.00039      0.00015      0.00052      0.00010      0.00055      0.00015      0.00045      0.00020      0.00045      0.00016      0.00031      0.00014      0.00049      0.00010      0.00046      0.00011      0.00047      0.00008      0.00033      0.00021      0.00040      0.00013      0.00029      0.00009      0.00027      0.00012      0.00031      0.00011      0.00028      0.00018      0.00039      0.00014      0.00034      0.00019      0.00030      0.00013      0.00031      0.00014      0.00023      0.00015      0.00026      0.00010      0.00027      0.00012      0.00028      0.00007      0.00026      0.00016      0.00033      0.00012      0.00032      0.00013      0.00025      0.00009      0.00026      0.00013      0.00022      0.00013      0.00034      0.00009      0.00017      0.00010      0.00024      0.00010      0.00019      0.00012      0.00021      0.00016      0.00020      0.00013      0.00026      0.00013      0.00024      0.00008      0.00016      0.00015      0.00031      0.00016      0.00035      0.00010      0.00025      0.00009      0.00027      0.00015      0.00028      0.00012      0.00040      0.00016      0.00032      0.00011      0.00013      0.00015      0.00019      0.00011      0.00028      0.00012      0.00024      0.00014      0.00030      0.00011      0.00024      0.00018      0.00019      0.00015      0.00026      0.00009      0.00020      0.00011      0.00027      0.00011      0.00017      0.00013      0.00032      0.00015      0.00023      0.00012      0.00019      0.00018      0.00014      0.00010      0.00021      0.00014      0.00027      0.00019      0.00025      0.00009      0.00012      0.00012      0.00016      0.00009      0.00019      0.00013      0.00023      0.00012      0.00020      0.00015      0.00031      0.00018      0.00020      0.00015      0.00024      0.00018      0.00018      0.00018      0.00014      0.00010      0.00013      0.00011      0.00013      0.00015      0.00024      0.00014      0.00029      0.00013      0.00025      0.00014      0.00017      0.00016      0.00019      0.00010      0.00025      0.00013      0.00028      0.00018      0.00018      0.00014      0.00028      0.00010      0.00022      0.00016      0.00021      0.00008      0.00020      0.00018      0.00025      0.00013      0.00021      0.00020      0.00035      0.00021      0.00040      0.00013      0.00031      0.00013      0.00015      0.00016      0.00022      0.00018      0.00018      0.00014      0.00027      0.00012      0.00022      0.00012      0.00021      0.00012      0.00014      0.00011      0.00016
            1            8      0.16667      0.16667      0.00000     -5.24710      0.00007      0.00000      0.00045      0.00074      0.00022      0.00042      0.00032      0.00046      0.00032      0.00041      0.00020      0.00019      0.00029      0.00044      0.00036      0.00067      0.00028      0.00037      0.00032      0.00033      0.00029      0.00047      0.00038      0.00056      0.00039      0.00057      0.00040      0.00037      0.00033      0.00028      0.00036      0.00069      0.00025      0.00035      0.00044      0.00053      0.00024      0.00037      0.00020      0.00047      0.00027      0.00031      0.00034      0.00036      0.00034      0.00044      0.00050      0.00047      0.00034      0.00026      0.00017      0.00028      0.00033      0.00038      0.00034      0.00039      0.00035      0.00041      0.00042      0.00037      0.00026      0.00035      0.00027      0.00030      0.00032      0.00038      0.00025      0.00026      0.00025      0.00027      0.00025      0.00035      0.00026      0.00031      0.00030      0.00031      0.00022      0.00027      0.00039      0.00049      0.00049      0.00045      0.00033      0.00037      0.00021      0.00028      0.00026      0.00035      0.00038      0.00038      0.00038      0.00056      0.00030      0.00035      0.00029      0.00046      0.00016      0.00033      0.00031      0.00037      0.00026      0.00017      0.00041      0.00039      0.00039      0.00046      0.00032      0.00029      0.00033      0.00038      0.00034      0.00048      0.00034      0.00046      0.00027      0.00037      0.00033      0.00036      0.00026      0.00039      0.00032      0.00042      0.00036      0.00039      0.00022      0.00025      0.00031      0.00035      0.00031      0.00033      0.00026      0.00042      0.00033      0.00046      0.00031      0.00047      0.00034      0.00035      0.00037      0.00033      0.00028      0.00039      0.00030      0.00034      0.00038      0.00049      0.00038      0.00034      0.00036      0.00044      0.00047      0.00054      0.00032      0.00048      0.00030      0.00052      0.00039      0.00038      0.00035      0.00058      0.00031      0.00042      0.00045      0.00044      0.00040      0.00040      0.00028      0.00028      0.00023      0.00035      0.00039      0.00065      0.00053      0.00050      0.00029      0.00040      0.00037      0.00028      0.00044      0.00068      0.00026      0.00039      0.00038      0.00035      0.00039      0.00030      0.00039      0.00048      0.00026      0.00036      0.00046      0.00049      0.00029      0.00036      0.00039      0.00039      0.00045      0.00066      0.00031      0.00041      0.00036      0.00046
