The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.50000E-01  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.25000E+00  0.50000E-01  0.00000E+00
  0.10000E+01  0.13371E-04  0.94734E-04  0.59031E-03  0.57292E-02  0.43745E-03  0.97992E-04  0.59441E-04  0.35499E-03  0.75233E-01  0.70079E-01  0.33219E-03  0.41417E-04  0.49523E-03  0.85474E-01  0.23713E-03  0.97593E-01  0.64169E-03  0.27212E-03  0.47453E-02  0.75974E-01  0.56664E-01  0.36856E-02  0.91333E-01  0.79160E-01  0.64728E-03  0.26824E-03  0.80041E-03  0.83448E-01  0.31089E-03  0.70750E-01  0.74024E-04  0.68180E-04  0.29949E-03  0.12941E+00  0.64357E-01  0.22604E-03
  0.20000E+01  0.15251E-04  0.65936E-04  0.58008E-03  0.73432E-02  0.73648E-03  0.46908E-04  0.58023E-04  0.41277E-03  0.71525E-01  0.11992E+00  0.42472E-03  0.49131E-04  0.94430E-03  0.61189E-01  0.33766E-03  0.79981E-01  0.90985E-03  0.43902E-03  0.42223E-02  0.77122E-01  0.83908E-01  0.46967E-02  0.80307E-01  0.78732E-01  0.51292E-03  0.33604E-03  0.77799E-03  0.90206E-01  0.35319E-03  0.65308E-01  0.60462E-04  0.47383E-04  0.51520E-03  0.94649E-01  0.73026E-01  0.24441E-03
  0.30000E+01  0.13442E-04  0.49054E-04  0.92927E-03  0.77156E-02  0.54907E-03  0.46657E-04  0.43898E-04  0.51831E-03  0.83284E-01  0.52706E-01  0.86884E-03  0.57807E-04  0.71233E-03  0.51338E-01  0.36214E-03  0.56489E-01  0.90539E-03  0.67229E-03  0.51475E-02  0.82198E-01  0.10964E+00  0.40256E-02  0.11792E+00  0.97066E-01  0.78891E-03  0.47856E-03  0.11518E-02  0.89488E-01  0.29294E-03  0.81762E-01  0.62564E-04  0.51826E-04  0.56480E-03  0.67489E-01  0.84170E-01  0.44037E-03
  0.40000E+01  0.13687E-04  0.52511E-04  0.85351E-03  0.52668E-02  0.84045E-03  0.55844E-04  0.50068E-04  0.59351E-03  0.61914E-01  0.71998E-01  0.54288E-03  0.52216E-04  0.48294E-03  0.70964E-01  0.51631E-03  0.66816E-01  0.73024E-03  0.53175E-03  0.62389E-02  0.11018E+00  0.72444E-01  0.31037E-02  0.10710E+00  0.99187E-01  0.86048E-03  0.43958E-03  0.84301E-03  0.70784E-01  0.31343E-03  0.91303E-01  0.58921E-04  0.53747E-04  0.76591E-03  0.81178E-01  0.72347E-01  0.52994E-03
  0.50000E+01  0.17071E-04  0.47306E-04  0.62058E-03  0.70789E-02  0.79798E-03  0.51360E-04  0.49838E-04  0.69806E-03  0.87214E-01  0.75180E-01  0.63659E-03  0.37521E-04  0.41493E-03  0.72815E-01  0.65841E-03  0.68268E-01  0.85301E-03  0.81153E-03  0.49185E-02  0.89255E-01  0.84148E-01  0.53366E-02  0.88441E-01  0.11386E+00  0.52833E-03  0.87482E-03  0.92507E-03  0.81182E-01  0.50715E-03  0.76024E-01  0.52350E-04  0.50149E-04  0.37282E-03  0.72440E-01  0.64437E-01  0.39744E-03
  0.60000E+01  0.19756E-04  0.49335E-04  0.83299E-03  0.65234E-02  0.75274E-03  0.40053E-04  0.52605E-04  0.84087E-03  0.56236E-01  0.69127E-01  0.90105E-03  0.49134E-04  0.58354E-03  0.65775E-01  0.56204E-03  0.72004E-01  0.87212E-03  0.67219E-03  0.28660E-02  0.10167E+00  0.11376E+00  0.77492E-02  0.10140E+00  0.11120E+00  0.58276E-03  0.84564E-03  0.82016E-03  0.84001E-01  0.45207E-03  0.69512E-01  0.53877E-04  0.35057E-04  0.59056E-03  0.59769E-01  0.68249E-01  0.54828E-03
  0.70000E+01  0.23611E-04  0.45946E-04  0.73998E-03  0.66758E-02  0.67303E-03  0.29020E-04  0.55342E-04  0.62707E-03  0.73321E-01  0.96355E-01  0.97529E-03  0.57494E-04  0.66016E-03  0.69077E-01  0.54021E-03  0.64843E-01  0.58824E-03  0.60477E-03  0.31904E-02  0.78401E-01  0.82495E-01  0.64090E-02  0.75966E-01  0.87186E-01  0.44078E-03  0.74643E-03  0.86044E-03  0.76960E-01  0.54055E-03  0.11314E+00  0.63459E-04  0.54865E-04  0.87900E-03  0.94678E-01  0.61682E-01  0.41767E-03
  0.80000E+01  0.10972E-04  0.38839E-04  0.62226E-03  0.59314E-02  0.58563E-03  0.34217E-04  0.66606E-04  0.99890E-03  0.74893E-01  0.84481E-01  0.63395E-03  0.64190E-04  0.86786E-03  0.10300E+00  0.55131E-03  0.75572E-01  0.67891E-03  0.93997E-03  0.27866E-02  0.55953E-01  0.96941E-01  0.72510E-02  0.63425E-01  0.95970E-01  0.75100E-03  0.92890E-03  0.99633E-03  0.64768E-01  0.47863E-03  0.81717E-01  0.68744E-04  0.54623E-04  0.57783E-03  0.10177E+00  0.74932E-01  0.66787E-03
