The average electron(hole) population on different diabatic wave function for one core sample. 
         time      csit(1)      csit(2)      csit(3)      csit(4)      csit(5)      csit(6)      csit(7)      csit(8)      csit(9)     csit(10)     csit(11)     csit(12)     csit(13)     csit(14)     csit(15)     csit(16)     csit(17)     csit(18)     csit(19)     csit(20)     csit(21)     csit(22)     csit(23)     csit(24)     csit(25)     csit(26)     csit(27)     csit(28)     csit(29)     csit(30)     csit(31)     csit(32)     csit(33)     csit(34)     csit(35)     csit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.50000E-01  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.25000E+00  0.50000E-01  0.00000E+00
  0.10000E+01  0.31674E-03  0.42173E-03  0.99505E-03  0.44163E-01  0.10309E-02  0.46534E-03  0.44472E-03  0.75045E-03  0.85335E-01  0.74370E-01  0.51840E-03  0.54844E-03  0.55523E-03  0.49369E-01  0.39719E-03  0.57449E-01  0.90327E-03  0.93733E-03  0.39549E-01  0.93562E-01  0.60962E-01  0.33409E-01  0.60134E-01  0.10559E+00  0.91847E-03  0.48650E-03  0.59164E-03  0.58372E-01  0.31112E-03  0.72673E-01  0.57026E-03  0.32661E-03  0.31112E-03  0.63957E-01  0.88482E-01  0.82147E-03
  0.20000E+01  0.33041E-03  0.43231E-03  0.57525E-03  0.62034E-01  0.83213E-03  0.46679E-03  0.44234E-03  0.58461E-03  0.87709E-01  0.51666E-01  0.66987E-03  0.36179E-03  0.84968E-03  0.74856E-01  0.32084E-03  0.60826E-01  0.52915E-03  0.59239E-03  0.78852E-01  0.65848E-01  0.52415E-01  0.29794E-01  0.41761E-01  0.89096E-01  0.89414E-03  0.59793E-03  0.60110E-03  0.53419E-01  0.40680E-03  0.78656E-01  0.44123E-03  0.37615E-03  0.42954E-03  0.85648E-01  0.76197E-01  0.48953E-03
  0.30000E+01  0.26475E-03  0.44161E-03  0.59341E-03  0.65116E-01  0.51306E-03  0.51639E-03  0.42031E-03  0.86089E-03  0.68526E-01  0.71845E-01  0.46140E-03  0.44628E-03  0.59060E-03  0.80997E-01  0.35895E-03  0.74646E-01  0.65739E-03  0.54374E-03  0.64513E-01  0.82422E-01  0.37453E-01  0.29032E-01  0.48776E-01  0.80683E-01  0.55864E-03  0.33032E-03  0.74974E-03  0.65052E-01  0.33878E-03  0.73729E-01  0.48387E-03  0.54146E-03  0.41999E-03  0.72665E-01  0.73864E-01  0.59074E-03
  0.40000E+01  0.31376E-03  0.33692E-03  0.45439E-03  0.80116E-01  0.49437E-03  0.28318E-03  0.58090E-03  0.76659E-03  0.63267E-01  0.88953E-01  0.57530E-03  0.49971E-03  0.56434E-03  0.91202E-01  0.40884E-03  0.63747E-01  0.53650E-03  0.49070E-03  0.53054E-01  0.61941E-01  0.34717E-01  0.28813E-01  0.47285E-01  0.59194E-01  0.78803E-03  0.56660E-03  0.56346E-03  0.74771E-01  0.38841E-03  0.81248E-01  0.55211E-03  0.42207E-03  0.47594E-03  0.87984E-01  0.73030E-01  0.61514E-03
  0.50000E+01  0.29781E-03  0.49935E-03  0.54194E-03  0.72233E-01  0.70395E-03  0.55122E-03  0.38516E-03  0.73723E-03  0.42885E-01  0.81172E-01  0.39299E-03  0.69282E-03  0.32412E-03  0.85678E-01  0.30563E-03  0.80191E-01  0.69090E-03  0.46675E-03  0.52183E-01  0.65972E-01  0.49455E-01  0.50511E-01  0.55422E-01  0.70846E-01  0.61237E-03  0.40202E-03  0.85216E-03  0.60273E-01  0.30027E-03  0.73101E-01  0.33080E-03  0.53003E-03  0.50174E-03  0.81083E-01  0.68446E-01  0.42998E-03
  0.60000E+01  0.25421E-03  0.50477E-03  0.58583E-03  0.65769E-01  0.59417E-03  0.37228E-03  0.47060E-03  0.54751E-03  0.63176E-01  0.64698E-01  0.46731E-03  0.83431E-03  0.44494E-03  0.84601E-01  0.30016E-03  0.64130E-01  0.72989E-03  0.55662E-03  0.50769E-01  0.64060E-01  0.65143E-01  0.63789E-01  0.57177E-01  0.61160E-01  0.40898E-03  0.55836E-03  0.70261E-03  0.74709E-01  0.32162E-03  0.90623E-01  0.48853E-03  0.47584E-03  0.39292E-03  0.64103E-01  0.55724E-01  0.35757E-03
  0.70000E+01  0.22981E-03  0.48862E-03  0.65849E-03  0.41845E-01  0.69568E-03  0.48192E-03  0.40662E-03  0.42577E-03  0.66684E-01  0.67846E-01  0.42742E-03  0.44954E-03  0.61963E-03  0.69837E-01  0.36807E-03  0.59611E-01  0.99603E-03  0.46924E-03  0.51000E-01  0.50029E-01  0.59373E-01  0.87462E-01  0.75447E-01  0.73904E-01  0.88606E-03  0.64670E-03  0.59849E-03  0.68606E-01  0.54477E-03  0.88027E-01  0.56670E-03  0.41870E-03  0.44298E-03  0.65728E-01  0.63406E-01  0.37452E-03
  0.80000E+01  0.26507E-03  0.45295E-03  0.92671E-03  0.58271E-01  0.64649E-03  0.47624E-03  0.52157E-03  0.52077E-03  0.61988E-01  0.62040E-01  0.49678E-03  0.70880E-03  0.50122E-03  0.75434E-01  0.37576E-03  0.76356E-01  0.93834E-03  0.43701E-03  0.54268E-01  0.50664E-01  0.60037E-01  0.80449E-01  0.99071E-01  0.55682E-01  0.66332E-03  0.47493E-03  0.90629E-03  0.70750E-01  0.40804E-03  0.64721E-01  0.65267E-03  0.47492E-03  0.53792E-03  0.49531E-01  0.68985E-01  0.36495E-03
