Averager of naver=      20 pes(ifre,isnap),ifre=0,nfre)
        time    active_pes       pes(1)       pes(2)       pes(3)       pes(4)       pes(5)       pes(6)       pes(7)       pes(8)       pes(9)      pes(10)      pes(11)      pes(12)      pes(13)      pes(14)      pes(15)      pes(16)      pes(17)      pes(18)      pes(19)      pes(20)      pes(21)      pes(22)      pes(23)      pes(24)      pes(25)      pes(26)      pes(27)      pes(28)      pes(29)      pes(30)      pes(31)      pes(32)      pes(33)      pes(34)      pes(35)      pes(36)
           fs           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV
  0.00000E+00 -0.26376E+01  0.90020E-01 -0.21725E-01 -0.22051E+01 -0.22675E+01 -0.23201E+01 -0.23901E+01 -0.24452E+01 -0.25029E+01 -0.25461E+01 -0.25891E+01 -0.26301E+01 -0.26705E+01 -0.27144E+01 -0.27563E+01 -0.27959E+01 -0.28524E+01 -0.29154E+01 -0.44020E+01 -0.44596E+01 -0.45350E+01 -0.45881E+01 -0.46477E+01 -0.47201E+01 -0.51030E+01 -0.51795E+01 -0.52314E+01 -0.52956E+01 -0.53523E+01 -0.54233E+01 -0.65471E+01 -0.66050E+01 -0.66625E+01 -0.67123E+01 -0.67570E+01 -0.68067E+01 -0.73997E+01
  0.10000E+01 -0.26095E+01  0.93050E-01 -0.20195E-01 -0.21996E+01 -0.22634E+01 -0.23146E+01 -0.23892E+01 -0.24449E+01 -0.24963E+01 -0.25462E+01 -0.25900E+01 -0.26319E+01 -0.26686E+01 -0.27123E+01 -0.27541E+01 -0.28008E+01 -0.28545E+01 -0.29176E+01 -0.43960E+01 -0.44610E+01 -0.45358E+01 -0.45886E+01 -0.46485E+01 -0.47201E+01 -0.51099E+01 -0.51793E+01 -0.52296E+01 -0.52914E+01 -0.53509E+01 -0.54218E+01 -0.65474E+01 -0.66038E+01 -0.66643E+01 -0.67107E+01 -0.67588E+01 -0.68060E+01 -0.73999E+01
  0.20000E+01 -0.26075E+01  0.93816E-01 -0.19805E-01 -0.21950E+01 -0.22594E+01 -0.23131E+01 -0.23905E+01 -0.24456E+01 -0.24937E+01 -0.25479E+01 -0.25836E+01 -0.26333E+01 -0.26695E+01 -0.27143E+01 -0.27525E+01 -0.28040E+01 -0.28597E+01 -0.29204E+01 -0.43890E+01 -0.44674E+01 -0.45340E+01 -0.45903E+01 -0.46475E+01 -0.47223E+01 -0.51165E+01 -0.51817E+01 -0.52314E+01 -0.52874E+01 -0.53480E+01 -0.54200E+01 -0.65469E+01 -0.66047E+01 -0.66654E+01 -0.67092E+01 -0.67585E+01 -0.68074E+01 -0.74002E+01
  0.30000E+01 -0.26058E+01  0.91363E-01 -0.19197E-01 -0.21917E+01 -0.22566E+01 -0.23140E+01 -0.23954E+01 -0.24449E+01 -0.24932E+01 -0.25461E+01 -0.25812E+01 -0.26320E+01 -0.26715E+01 -0.27178E+01 -0.27569E+01 -0.28063E+01 -0.28631E+01 -0.29248E+01 -0.43857E+01 -0.44708E+01 -0.45352E+01 -0.45897E+01 -0.46461E+01 -0.47260E+01 -0.51200E+01 -0.51853E+01 -0.52365E+01 -0.52850E+01 -0.53446E+01 -0.54189E+01 -0.65461E+01 -0.66076E+01 -0.66655E+01 -0.67079E+01 -0.67574E+01 -0.68089E+01 -0.74005E+01
  0.40000E+01 -0.26068E+01  0.86459E-01 -0.20110E-01 -0.21909E+01 -0.22575E+01 -0.23168E+01 -0.23992E+01 -0.24454E+01 -0.24951E+01 -0.25420E+01 -0.25862E+01 -0.26315E+01 -0.26743E+01 -0.27205E+01 -0.27599E+01 -0.28126E+01 -0.28643E+01 -0.29301E+01 -0.43878E+01 -0.44700E+01 -0.45374E+01 -0.45906E+01 -0.46445E+01 -0.47288E+01 -0.51212E+01 -0.51863E+01 -0.52434E+01 -0.52875E+01 -0.53433E+01 -0.54174E+01 -0.65458E+01 -0.66102E+01 -0.66665E+01 -0.67076E+01 -0.67545E+01 -0.68107E+01 -0.74007E+01
  0.50000E+01 -0.26116E+01  0.78688E-01 -0.21806E-01 -0.21950E+01 -0.22598E+01 -0.23223E+01 -0.23943E+01 -0.24547E+01 -0.24952E+01 -0.25445E+01 -0.25913E+01 -0.26356E+01 -0.26782E+01 -0.27215E+01 -0.27627E+01 -0.28154E+01 -0.28676E+01 -0.29347E+01 -0.43909E+01 -0.44695E+01 -0.45373E+01 -0.45979E+01 -0.46429E+01 -0.47290E+01 -0.51180E+01 -0.51900E+01 -0.52469E+01 -0.52915E+01 -0.53436E+01 -0.54183E+01 -0.65469E+01 -0.66123E+01 -0.66671E+01 -0.67085E+01 -0.67511E+01 -0.68119E+01 -0.74008E+01
  0.60000E+01 -0.26174E+01  0.71535E-01 -0.26561E-01 -0.22027E+01 -0.22634E+01 -0.23273E+01 -0.23934E+01 -0.24626E+01 -0.25033E+01 -0.25450E+01 -0.25974E+01 -0.26401E+01 -0.26856E+01 -0.27237E+01 -0.27649E+01 -0.28187E+01 -0.28679E+01 -0.29346E+01 -0.43950E+01 -0.44708E+01 -0.45387E+01 -0.46036E+01 -0.46430E+01 -0.47257E+01 -0.51141E+01 -0.51937E+01 -0.52487E+01 -0.52945E+01 -0.53467E+01 -0.54189E+01 -0.65490E+01 -0.66134E+01 -0.66674E+01 -0.67082E+01 -0.67498E+01 -0.68120E+01 -0.74008E+01
  0.70000E+01 -0.26256E+01  0.65635E-01 -0.35452E-01 -0.22100E+01 -0.22711E+01 -0.23327E+01 -0.24013E+01 -0.24663E+01 -0.25139E+01 -0.25540E+01 -0.26031E+01 -0.26455E+01 -0.26886E+01 -0.27286E+01 -0.27666E+01 -0.28199E+01 -0.28654E+01 -0.29349E+01 -0.43999E+01 -0.44739E+01 -0.45425E+01 -0.46061E+01 -0.46461E+01 -0.47190E+01 -0.51122E+01 -0.51937E+01 -0.52491E+01 -0.52949E+01 -0.53545E+01 -0.54191E+01 -0.65525E+01 -0.66133E+01 -0.66668E+01 -0.67077E+01 -0.67498E+01 -0.68111E+01 -0.74007E+01
  0.80000E+01 -0.26294E+01  0.58415E-01 -0.44410E-01 -0.22190E+01 -0.22804E+01 -0.23398E+01 -0.24084E+01 -0.24735E+01 -0.25251E+01 -0.25654E+01 -0.26086E+01 -0.26496E+01 -0.26902E+01 -0.27285E+01 -0.27747E+01 -0.28169E+01 -0.28649E+01 -0.29346E+01 -0.44054E+01 -0.44767E+01 -0.45476E+01 -0.46048E+01 -0.46515E+01 -0.47129E+01 -0.51117E+01 -0.51928E+01 -0.52497E+01 -0.52966E+01 -0.53578E+01 -0.54198E+01 -0.65564E+01 -0.66121E+01 -0.66653E+01 -0.67084E+01 -0.67505E+01 -0.68091E+01 -0.74004E+01
