One trajecotry PES of iaver=       1 pes_one(ifre,isnap),ifre=0,nfre)
        time    active_pes pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre) pesone(ifre)
           fs           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV           eV
  0.00000E+00 -0.29547E+01  0.33211E-01 -0.38974E-01 -0.21755E+01 -0.22379E+01 -0.23623E+01 -0.23968E+01 -0.24326E+01 -0.24766E+01 -0.25331E+01 -0.26210E+01 -0.26236E+01 -0.26755E+01 -0.27530E+01 -0.28222E+01 -0.28659E+01 -0.29547E+01 -0.30440E+01 -0.44509E+01 -0.44825E+01 -0.45029E+01 -0.45912E+01 -0.46813E+01 -0.47286E+01 -0.51565E+01 -0.51991E+01 -0.52300E+01 -0.52863E+01 -0.53019E+01 -0.55165E+01 -0.65718E+01 -0.66197E+01 -0.66615E+01 -0.67360E+01 -0.67722E+01 -0.68169E+01 -0.74048E+01
  0.10000E+01 -0.29436E+01  0.58202E-02 -0.73470E-01 -0.22005E+01 -0.22898E+01 -0.23751E+01 -0.24457E+01 -0.24505E+01 -0.25122E+01 -0.25664E+01 -0.26291E+01 -0.26705E+01 -0.27009E+01 -0.27485E+01 -0.28514E+01 -0.28684E+01 -0.29436E+01 -0.30116E+01 -0.44361E+01 -0.44884E+01 -0.45082E+01 -0.46018E+01 -0.47046E+01 -0.47349E+01 -0.51810E+01 -0.52002E+01 -0.52313E+01 -0.52810E+01 -0.53005E+01 -0.55109E+01 -0.65775E+01 -0.66105E+01 -0.66591E+01 -0.67476E+01 -0.67677E+01 -0.68020E+01 -0.74024E+01
  0.20000E+01 -0.29342E+01 -0.17864E-01 -0.99257E-01 -0.22298E+01 -0.23410E+01 -0.23798E+01 -0.24669E+01 -0.24961E+01 -0.25351E+01 -0.26028E+01 -0.26305E+01 -0.26897E+01 -0.27339E+01 -0.27789E+01 -0.28290E+01 -0.28816E+01 -0.29342E+01 -0.29766E+01 -0.44173E+01 -0.44902E+01 -0.45239E+01 -0.46050E+01 -0.46952E+01 -0.47728E+01 -0.51992E+01 -0.52158E+01 -0.52315E+01 -0.52652E+01 -0.53106E+01 -0.54927E+01 -0.65806E+01 -0.66005E+01 -0.66571E+01 -0.67544E+01 -0.67654E+01 -0.67885E+01 -0.74002E+01
  0.30000E+01 -0.29188E+01 -0.36287E-01 -0.11647E+00 -0.22598E+01 -0.23667E+01 -0.24018E+01 -0.24990E+01 -0.25113E+01 -0.25573E+01 -0.26234E+01 -0.26426E+01 -0.26824E+01 -0.27396E+01 -0.27865E+01 -0.28621E+01 -0.28781E+01 -0.29188E+01 -0.29657E+01 -0.44066E+01 -0.44910E+01 -0.45391E+01 -0.46013E+01 -0.46904E+01 -0.48082E+01 -0.52026E+01 -0.52243E+01 -0.52408E+01 -0.52637E+01 -0.53240E+01 -0.54658E+01 -0.65765E+01 -0.65962E+01 -0.66562E+01 -0.67431E+01 -0.67748E+01 -0.67818E+01 -0.73984E+01
  0.40000E+01 -0.29319E+01 -0.47807E-01 -0.12252E+00 -0.22869E+01 -0.23783E+01 -0.24123E+01 -0.25084E+01 -0.25341E+01 -0.25739E+01 -0.26279E+01 -0.26497E+01 -0.26862E+01 -0.27270E+01 -0.27692E+01 -0.28458E+01 -0.28998E+01 -0.29319E+01 -0.29767E+01 -0.44080E+01 -0.44917E+01 -0.45454E+01 -0.46031E+01 -0.46881E+01 -0.48298E+01 -0.51969E+01 -0.52193E+01 -0.52466E+01 -0.52883E+01 -0.53403E+01 -0.54302E+01 -0.65675E+01 -0.65960E+01 -0.66569E+01 -0.67272E+01 -0.67749E+01 -0.67919E+01 -0.73974E+01
  0.50000E+01 -0.29389E+01 -0.52189E-01 -0.11721E+00 -0.23071E+01 -0.23661E+01 -0.24014E+01 -0.25007E+01 -0.25443E+01 -0.25773E+01 -0.26212E+01 -0.26650E+01 -0.26907E+01 -0.27207E+01 -0.27858E+01 -0.28194E+01 -0.28707E+01 -0.29389E+01 -0.30257E+01 -0.44172E+01 -0.44884E+01 -0.45456E+01 -0.46165E+01 -0.46835E+01 -0.48385E+01 -0.51814E+01 -0.52181E+01 -0.52565E+01 -0.53145E+01 -0.53564E+01 -0.53916E+01 -0.65601E+01 -0.65920E+01 -0.66603E+01 -0.67157E+01 -0.67732E+01 -0.68057E+01 -0.73975E+01
  0.60000E+01 -0.29409E+01 -0.48681E-01 -0.10236E+00 -0.23202E+01 -0.23226E+01 -0.23727E+01 -0.24903E+01 -0.25468E+01 -0.25749E+01 -0.25770E+01 -0.26827E+01 -0.26985E+01 -0.27583E+01 -0.27759E+01 -0.28035E+01 -0.28485E+01 -0.29409E+01 -0.30635E+01 -0.44306E+01 -0.44793E+01 -0.45491E+01 -0.46331E+01 -0.46757E+01 -0.48354E+01 -0.51625E+01 -0.52176E+01 -0.52717E+01 -0.53324E+01 -0.53426E+01 -0.53860E+01 -0.65566E+01 -0.65838E+01 -0.66654E+01 -0.67133E+01 -0.67711E+01 -0.68188E+01 -0.73987E+01
  0.70000E+01 -0.29370E+01 -0.37820E-01 -0.80033E-01 -0.22704E+01 -0.23217E+01 -0.23417E+01 -0.24669E+01 -0.25203E+01 -0.25442E+01 -0.25879E+01 -0.26702E+01 -0.27063E+01 -0.27332E+01 -0.27721E+01 -0.28077E+01 -0.28705E+01 -0.29370E+01 -0.30822E+01 -0.44409E+01 -0.44664E+01 -0.45551E+01 -0.46388E+01 -0.46754E+01 -0.48210E+01 -0.51434E+01 -0.52198E+01 -0.52809E+01 -0.53075E+01 -0.53491E+01 -0.54024E+01 -0.65547E+01 -0.65741E+01 -0.66705E+01 -0.67195E+01 -0.67703E+01 -0.68301E+01 -0.74011E+01
  0.80000E+01 -0.29258E+01 -0.24510E-01 -0.52201E-01 -0.22225E+01 -0.22982E+01 -0.23411E+01 -0.24225E+01 -0.25050E+01 -0.25251E+01 -0.25918E+01 -0.26408E+01 -0.26661E+01 -0.27044E+01 -0.27722E+01 -0.28315E+01 -0.29000E+01 -0.29258E+01 -0.30765E+01 -0.44393E+01 -0.44605E+01 -0.45563E+01 -0.46274E+01 -0.46913E+01 -0.47942E+01 -0.51268E+01 -0.52256E+01 -0.52523E+01 -0.53119E+01 -0.53578E+01 -0.54134E+01 -0.65527E+01 -0.65675E+01 -0.66757E+01 -0.67272E+01 -0.67729E+01 -0.68394E+01 -0.74041E+01
