The average active PES project on different diabatic wave function for one core sample. psit(ifre)=P(ifre,isurface)**2 
         time      psit(1)      psit(2)      psit(3)      psit(4)      psit(5)      psit(6)      psit(7)      psit(8)      psit(9)     psit(10)     psit(11)     psit(12)     psit(13)     psit(14)     psit(15)     psit(16)     psit(17)     psit(18)     psit(19)     psit(20)     psit(21)     psit(22)     psit(23)     psit(24)     psit(25)     psit(26)     psit(27)     psit(28)     psit(29)     psit(30)     psit(31)     psit(32)     psit(33)     psit(34)     psit(35)     psit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00  0.91544E-05  0.72188E-04  0.51556E-03  0.30662E-02  0.51556E-03  0.72188E-04  0.61107E-04  0.18533E-03  0.85556E-01  0.99535E-01  0.17352E-03  0.63206E-04  0.53744E-03  0.71319E-01  0.29468E-03  0.73266E-01  0.53931E-03  0.16263E-03  0.18823E-02  0.76240E-01  0.87986E-01  0.20293E-02  0.87986E-01  0.76240E-01  0.53744E-03  0.16263E-03  0.53931E-03  0.73266E-01  0.29468E-03  0.71319E-01  0.61107E-04  0.63206E-04  0.17352E-03  0.99535E-01  0.85556E-01  0.18533E-03
  0.10000E+01  0.14785E-04  0.76817E-04  0.54236E-03  0.48208E-02  0.54236E-03  0.76817E-04  0.68226E-04  0.21462E-03  0.78616E-01  0.91114E-01  0.22211E-03  0.57974E-04  0.56053E-03  0.77232E-01  0.27913E-03  0.75528E-01  0.59314E-03  0.14492E-03  0.34100E-02  0.80464E-01  0.88774E-01  0.27792E-02  0.88774E-01  0.80464E-01  0.56053E-03  0.14492E-03  0.59314E-03  0.75528E-01  0.27913E-03  0.77232E-01  0.68226E-04  0.57974E-04  0.22211E-03  0.91114E-01  0.78616E-01  0.21462E-03
  0.20000E+01  0.14530E-04  0.61181E-04  0.53129E-03  0.57281E-02  0.53129E-03  0.61181E-04  0.58199E-04  0.16563E-03  0.71041E-01  0.84656E-01  0.25472E-03  0.60371E-04  0.53898E-03  0.77577E-01  0.35781E-03  0.73078E-01  0.68955E-03  0.15671E-03  0.35579E-02  0.99114E-01  0.85980E-01  0.20606E-02  0.85980E-01  0.99114E-01  0.53898E-03  0.15671E-03  0.68955E-03  0.73078E-01  0.35781E-03  0.77577E-01  0.58199E-04  0.60371E-04  0.25472E-03  0.84656E-01  0.71041E-01  0.16563E-03
  0.30000E+01  0.12326E-04  0.56803E-04  0.50258E-03  0.56131E-02  0.50258E-03  0.56803E-04  0.49616E-04  0.19893E-03  0.71632E-01  0.68629E-01  0.24224E-03  0.58207E-04  0.45794E-03  0.70744E-01  0.38731E-03  0.77066E-01  0.76490E-03  0.17494E-03  0.39173E-02  0.10139E+00  0.10138E+00  0.29917E-02  0.10138E+00  0.10139E+00  0.45794E-03  0.17494E-03  0.76490E-03  0.77066E-01  0.38731E-03  0.70744E-01  0.49616E-04  0.58207E-04  0.24224E-03  0.68629E-01  0.71632E-01  0.19893E-03
  0.40000E+01  0.16950E-04  0.59994E-04  0.59819E-03  0.55867E-02  0.59819E-03  0.59994E-04  0.50403E-04  0.19181E-03  0.89845E-01  0.83706E-01  0.23794E-03  0.49929E-04  0.35806E-03  0.82110E-01  0.46121E-03  0.59783E-01  0.56205E-03  0.16194E-03  0.39864E-02  0.95933E-01  0.79385E-01  0.34239E-02  0.79385E-01  0.95933E-01  0.35806E-03  0.16194E-03  0.56205E-03  0.59783E-01  0.46121E-03  0.82110E-01  0.50403E-04  0.49929E-04  0.23794E-03  0.83706E-01  0.89845E-01  0.19181E-03
  0.50000E+01  0.18694E-04  0.57507E-04  0.45631E-03  0.46444E-02  0.45631E-03  0.57507E-04  0.52400E-04  0.17816E-03  0.77757E-01  0.82811E-01  0.17273E-03  0.45893E-04  0.29700E-03  0.80562E-01  0.57836E-03  0.68974E-01  0.60191E-03  0.17039E-03  0.22624E-02  0.10707E+00  0.74660E-01  0.41919E-02  0.74660E-01  0.10707E+00  0.29700E-03  0.17039E-03  0.60191E-03  0.68974E-01  0.57836E-03  0.80562E-01  0.52400E-04  0.45893E-04  0.17273E-03  0.82811E-01  0.77757E-01  0.17816E-03
  0.60000E+01  0.25457E-04  0.44427E-04  0.55205E-03  0.36544E-02  0.55205E-03  0.44427E-04  0.48738E-04  0.17812E-03  0.57502E-01  0.90521E-01  0.19508E-03  0.43623E-04  0.30518E-03  0.70922E-01  0.63455E-03  0.62471E-01  0.65310E-03  0.23464E-03  0.18865E-02  0.11240E+00  0.98077E-01  0.48590E-02  0.98077E-01  0.11240E+00  0.30518E-03  0.23464E-03  0.65310E-03  0.62471E-01  0.63455E-03  0.70922E-01  0.48738E-04  0.43623E-04  0.19508E-03  0.90521E-01  0.57502E-01  0.17812E-03
  0.70000E+01  0.25682E-04  0.39915E-04  0.54591E-03  0.44199E-02  0.54591E-03  0.39915E-04  0.56884E-04  0.17519E-03  0.60472E-01  0.10287E+00  0.20432E-03  0.61488E-04  0.35888E-03  0.80910E-01  0.48123E-03  0.63623E-01  0.54027E-03  0.24978E-03  0.16841E-02  0.89692E-01  0.94288E-01  0.47248E-02  0.94288E-01  0.89692E-01  0.35888E-03  0.24978E-03  0.54027E-03  0.63623E-01  0.48123E-03  0.80910E-01  0.56884E-04  0.61488E-04  0.20432E-03  0.10287E+00  0.60472E-01  0.17519E-03
  0.80000E+01  0.11849E-04  0.32211E-04  0.52002E-03  0.32217E-02  0.52002E-03  0.32211E-04  0.57346E-04  0.28631E-03  0.75485E-01  0.85700E-01  0.18769E-03  0.68960E-04  0.61584E-03  0.10594E+00  0.51113E-03  0.60059E-01  0.80403E-03  0.26241E-03  0.26488E-02  0.70282E-01  0.93488E-01  0.55214E-02  0.93488E-01  0.70282E-01  0.61584E-03  0.26241E-03  0.80403E-03  0.60059E-01  0.51113E-03  0.10594E+00  0.57346E-04  0.68960E-04  0.18769E-03  0.85700E-01  0.75485E-01  0.28631E-03
