The average active PES project on different diabatic wave function for one core sample. psit(ifre)=P(ifre,isurface)**2 
         time      psit(1)      psit(2)      psit(3)      psit(4)      psit(5)      psit(6)      psit(7)      psit(8)      psit(9)     psit(10)     psit(11)     psit(12)     psit(13)     psit(14)     psit(15)     psit(16)     psit(17)     psit(18)     psit(19)     psit(20)     psit(21)     psit(22)     psit(23)     psit(24)     psit(25)     psit(26)     psit(27)     psit(28)     psit(29)     psit(30)     psit(31)     psit(32)     psit(33)     psit(34)     psit(35)     psit(36)
          fs             1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00 -0.47618E-05  0.53011E-04  0.18189E-04  0.21769E-01  0.27562E-03 -0.10924E-04  0.14602E-04  0.70801E-04  0.14784E-02  0.63823E-02  0.43574E-04 -0.46243E-04  0.16266E-05  0.17214E-01  0.98135E-04 -0.12419E-01 -0.51106E-04  0.12292E-04 -0.62223E-02  0.19437E-02 -0.66529E-02 -0.13936E-01 -0.40838E-02  0.32180E-01  0.13317E-03 -0.11620E-03 -0.15203E-03  0.95181E-02 -0.95756E-04 -0.49797E-02 -0.13212E-04 -0.18105E-04 -0.89553E-04  0.53204E-02 -0.20270E-01  0.25362E-03
  0.10000E+01  0.86688E-04  0.16747E-03  0.40598E-03  0.64690E-01  0.40598E-03  0.16747E-03  0.12441E-03  0.39810E-03  0.75135E-01  0.71419E-01  0.25600E-03  0.14335E-03  0.49456E-03  0.66688E-01  0.31266E-03  0.54704E-01  0.48588E-03  0.21407E-03  0.62913E-01  0.92396E-01  0.54969E-01  0.35686E-01  0.54969E-01  0.92396E-01  0.49456E-03  0.21407E-03  0.48588E-03  0.54704E-01  0.31266E-03  0.66688E-01  0.12441E-03  0.14335E-03  0.25600E-03  0.71419E-01  0.75135E-01  0.39810E-03
  0.20000E+01  0.83861E-04  0.17008E-03  0.47598E-03  0.57969E-01  0.47598E-03  0.17008E-03  0.15025E-03  0.43331E-03  0.75961E-01  0.71520E-01  0.25381E-03  0.12466E-03  0.56093E-03  0.71756E-01  0.29083E-03  0.62061E-01  0.46418E-03  0.17913E-03  0.68190E-01  0.83688E-01  0.56561E-01  0.24457E-01  0.56561E-01  0.83688E-01  0.56093E-03  0.17913E-03  0.46418E-03  0.62061E-01  0.29083E-03  0.71756E-01  0.15025E-03  0.12466E-03  0.25381E-03  0.71520E-01  0.75961E-01  0.43331E-03
  0.30000E+01  0.76728E-04  0.17123E-03  0.53005E-03  0.55983E-01  0.53005E-03  0.17123E-03  0.15940E-03  0.49033E-03  0.69505E-01  0.77546E-01  0.25258E-03  0.15688E-03  0.56627E-03  0.77169E-01  0.33704E-03  0.83515E-01  0.64466E-03  0.16165E-03  0.65007E-01  0.81567E-01  0.37215E-01  0.18958E-01  0.37215E-01  0.81567E-01  0.56627E-03  0.16165E-03  0.64466E-03  0.83515E-01  0.33704E-03  0.77169E-01  0.15940E-03  0.15688E-03  0.25258E-03  0.77546E-01  0.69505E-01  0.49033E-03
  0.40000E+01  0.58700E-04  0.97948E-04  0.43480E-03  0.88420E-01  0.43480E-03  0.97948E-04  0.15519E-03  0.52025E-03  0.65096E-01  0.89712E-01  0.23482E-03  0.16463E-03  0.44498E-03  0.80939E-01  0.34501E-03  0.73559E-01  0.49390E-03  0.25923E-03  0.46708E-01  0.63056E-01  0.37866E-01  0.38054E-01  0.37866E-01  0.63056E-01  0.44498E-03  0.25923E-03  0.49390E-03  0.73559E-01  0.34501E-03  0.80939E-01  0.15519E-03  0.16463E-03  0.23482E-03  0.89712E-01  0.65096E-01  0.52025E-03
  0.50000E+01  0.58517E-04  0.10416E-03  0.45833E-03  0.85949E-01  0.45833E-03  0.10416E-03  0.99206E-04  0.44707E-03  0.50755E-01  0.85612E-01  0.24483E-03  0.12057E-03  0.35158E-03  0.86031E-01  0.32476E-03  0.65943E-01  0.62283E-03  0.30283E-03  0.48983E-01  0.72919E-01  0.47653E-01  0.41031E-01  0.47653E-01  0.72919E-01  0.35158E-03  0.30283E-03  0.62283E-03  0.65943E-01  0.32476E-03  0.86031E-01  0.99206E-04  0.12057E-03  0.24483E-03  0.85612E-01  0.50755E-01  0.44707E-03
  0.60000E+01  0.56063E-04  0.15122E-03  0.53779E-03  0.66790E-01  0.53779E-03  0.15122E-03  0.93631E-04  0.31936E-03  0.58068E-01  0.68598E-01  0.27137E-03  0.10952E-03  0.41359E-03  0.88861E-01  0.37159E-03  0.68019E-01  0.64505E-03  0.34163E-03  0.54552E-01  0.68113E-01  0.52883E-01  0.63007E-01  0.52883E-01  0.68113E-01  0.41359E-03  0.34163E-03  0.64505E-03  0.68019E-01  0.37159E-03  0.88861E-01  0.93631E-04  0.10952E-03  0.27137E-03  0.68598E-01  0.58068E-01  0.31936E-03
  0.70000E+01  0.52779E-04  0.15329E-03  0.37185E-03  0.44619E-01  0.37185E-03  0.15329E-03  0.11790E-03  0.36752E-03  0.63893E-01  0.73758E-01  0.30034E-03  0.95375E-04  0.45212E-03  0.76468E-01  0.43596E-03  0.74441E-01  0.66688E-03  0.36956E-03  0.49403E-01  0.57494E-01  0.63542E-01  0.80073E-01  0.63542E-01  0.57494E-01  0.45212E-03  0.36956E-03  0.66688E-03  0.74441E-01  0.43596E-03  0.76468E-01  0.11790E-03  0.95375E-04  0.30034E-03  0.73758E-01  0.63893E-01  0.36752E-03
  0.80000E+01  0.77220E-04  0.15792E-03  0.61597E-03  0.55037E-01  0.61597E-03  0.15792E-03  0.13167E-03  0.33654E-03  0.66053E-01  0.62227E-01  0.36395E-03  0.12682E-03  0.31435E-03  0.69505E-01  0.39243E-03  0.73309E-01  0.67289E-03  0.43968E-03  0.53800E-01  0.50524E-01  0.81409E-01  0.77926E-01  0.81409E-01  0.50524E-01  0.31435E-03  0.43968E-03  0.67289E-03  0.73309E-01  0.39243E-03  0.69505E-01  0.13167E-03  0.12682E-03  0.36395E-03  0.62227E-01  0.66053E-01  0.33654E-03
  0.90000E+01  0.62126E-04  0.12220E-03  0.68427E-03  0.58906E-01  0.68427E-03  0.12220E-03  0.16226E-03  0.23192E-03  0.72195E-01  0.73862E-01  0.43250E-03  0.12273E-03  0.27697E-03  0.77077E-01  0.39424E-03  0.78448E-01  0.76351E-03  0.53990E-03  0.48079E-01  0.47258E-01  0.59113E-01  0.69587E-01  0.59113E-01  0.47258E-01  0.27697E-03  0.53990E-03  0.76351E-03  0.78448E-01  0.39424E-03  0.77077E-01  0.16226E-03  0.12273E-03  0.43250E-03  0.73862E-01  0.72195E-01  0.23192E-03
  0.10000E+02  0.10573E-03  0.13299E-03  0.71165E-03  0.61636E-01  0.71165E-03  0.13299E-03  0.15175E-03  0.22104E-03  0.60634E-01  0.58635E-01  0.50113E-03  0.12407E-03  0.34959E-03  0.75638E-01  0.40662E-03  0.89189E-01  0.73931E-03  0.39694E-03  0.40128E-01  0.54180E-01  0.73012E-01  0.68082E-01  0.73012E-01  0.54180E-01  0.34959E-03  0.39694E-03  0.73931E-03  0.89189E-01  0.40662E-03  0.75638E-01  0.15175E-03  0.12407E-03  0.50113E-03  0.58635E-01  0.60634E-01  0.22104E-03
  0.11000E+02  0.84492E-04  0.17893E-03  0.54212E-03  0.62798E-01  0.54212E-03  0.17893E-03  0.11148E-03  0.27750E-03  0.67820E-01  0.65412E-01  0.50893E-03  0.12235E-03  0.35276E-03  0.66115E-01  0.43060E-03  0.77819E-01  0.53024E-03  0.38666E-03  0.66623E-01  0.65048E-01  0.61917E-01  0.55349E-01  0.61917E-01  0.65048E-01  0.35276E-03  0.38666E-03  0.53024E-03  0.77819E-01  0.43060E-03  0.66115E-01  0.11148E-03  0.12235E-03  0.50893E-03  0.65412E-01  0.67820E-01  0.27750E-03
  0.12000E+02  0.99436E-04  0.17427E-03  0.50477E-03  0.48020E-01  0.50477E-03  0.17427E-03  0.10379E-03  0.20083E-03  0.66697E-01  0.57229E-01  0.50008E-03  0.14092E-03  0.49529E-03  0.72508E-01  0.42302E-03  0.73215E-01  0.66324E-03  0.33241E-03  0.47610E-01  0.86415E-01  0.59550E-01  0.65964E-01  0.59550E-01  0.86415E-01  0.49530E-03  0.33241E-03  0.66324E-03  0.73215E-01  0.42302E-03  0.72508E-01  0.10379E-03  0.14092E-03  0.50008E-03  0.57229E-01  0.66697E-01  0.20083E-03
  0.13000E+02  0.62627E-04  0.12347E-03  0.49478E-03  0.79380E-01  0.49478E-03  0.12347E-03  0.10872E-03  0.29043E-03  0.65325E-01  0.64686E-01  0.38648E-03  0.89660E-04  0.57975E-03  0.68794E-01  0.39436E-03  0.58626E-01  0.59133E-03  0.45751E-03  0.77504E-01  0.76505E-01  0.54569E-01  0.59013E-01  0.54569E-01  0.76505E-01  0.57975E-03  0.45751E-03  0.59133E-03  0.58626E-01  0.39436E-03  0.68794E-01  0.10872E-03  0.89660E-04  0.38648E-03  0.64686E-01  0.65325E-01  0.29042E-03
  0.14000E+02  0.55467E-04  0.14810E-03  0.53639E-03  0.73543E-01  0.53639E-03  0.14810E-03  0.10291E-03  0.27821E-03  0.75884E-01  0.80703E-01  0.37571E-03  0.84980E-04  0.59794E-03  0.59945E-01  0.37488E-03  0.50937E-01  0.58134E-03  0.42034E-03  0.46292E-01  0.67043E-01  0.66588E-01  0.70909E-01  0.66588E-01  0.67043E-01  0.59794E-03  0.42034E-03  0.58134E-03  0.50937E-01  0.37488E-03  0.59945E-01  0.10291E-03  0.84980E-04  0.37571E-03  0.80703E-01  0.75884E-01  0.27821E-03
  0.15000E+02  0.45037E-04  0.16427E-03  0.55126E-03  0.45248E-01  0.55126E-03  0.16427E-03  0.97939E-04  0.31867E-03  0.84956E-01  0.68930E-01  0.42107E-03  0.99097E-04  0.70613E-03  0.58122E-01  0.27503E-03  0.59075E-01  0.81286E-03  0.31192E-03  0.49766E-01  0.81312E-01  0.68198E-01  0.56238E-01  0.68198E-01  0.81312E-01  0.70613E-03  0.31192E-03  0.81286E-03  0.59075E-01  0.27503E-03  0.58122E-01  0.97939E-04  0.99097E-04  0.42107E-03  0.68930E-01  0.84956E-01  0.31867E-03
  0.16000E+02  0.69494E-04  0.14212E-03  0.58353E-03  0.63452E-01  0.58353E-03  0.14212E-03  0.98680E-04  0.29524E-03  0.82015E-01  0.57392E-01  0.45644E-03  0.12444E-03  0.40669E-03  0.59604E-01  0.32804E-03  0.59442E-01  0.78375E-03  0.31771E-03  0.52230E-01  0.82722E-01  0.76294E-01  0.42239E-01  0.76294E-01  0.82722E-01  0.40669E-03  0.31771E-03  0.78375E-03  0.59442E-01  0.32804E-03  0.59604E-01  0.98680E-04  0.12444E-03  0.45644E-03  0.57392E-01  0.82015E-01  0.29524E-03
  0.17000E+02  0.11229E-03  0.13213E-03  0.61573E-03  0.61200E-01  0.61573E-03  0.13213E-03  0.99007E-04  0.36127E-03  0.69157E-01  0.73293E-01  0.47457E-03  0.12759E-03  0.35179E-03  0.72618E-01  0.36583E-03  0.67027E-01  0.74357E-03  0.32459E-03  0.51903E-01  0.76613E-01  0.57232E-01  0.47714E-01  0.57232E-01  0.76613E-01  0.35179E-03  0.32459E-03  0.74357E-03  0.67027E-01  0.36583E-03  0.72618E-01  0.99007E-04  0.12759E-03  0.47457E-03  0.73293E-01  0.69157E-01  0.36127E-03
  0.18000E+02  0.10217E-03  0.14481E-03  0.61557E-03  0.48529E-01  0.61557E-03  0.14481E-03  0.11548E-03  0.25443E-03  0.77795E-01  0.72993E-01  0.43049E-03  0.13870E-03  0.43739E-03  0.65676E-01  0.35792E-03  0.67317E-01  0.57816E-03  0.30167E-03  0.66761E-01  0.66901E-01  0.65128E-01  0.46238E-01  0.65128E-01  0.66901E-01  0.43739E-03  0.30167E-03  0.57816E-03  0.67317E-01  0.35792E-03  0.65676E-01  0.11548E-03  0.13870E-03  0.43049E-03  0.72993E-01  0.77795E-01  0.25443E-03
