The average electron(hole) population on different adiabatic wave function for one core sample. 
        time       wsit(1)      wsit(2)      wsit(3)      wsit(4)      wsit(5)      wsit(6)      wsit(7)      wsit(8)      wsit(9)     wsit(10)     wsit(11)     wsit(12)     wsit(13)     wsit(14)     wsit(15)     wsit(16)     wsit(17)     wsit(18)     wsit(19)     wsit(20)     wsit(21)     wsit(22)     wsit(23)     wsit(24)     wsit(25)     wsit(26)     wsit(27)     wsit(28)     wsit(29)     wsit(30)     wsit(31)     wsit(32)     wsit(33)     wsit(34)     wsit(35)     wsit(36)
         fs              1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00  0.33072E-03  0.37404E-03  0.65476E-02  0.32302E-02  0.34461E-02  0.75583E-01  0.65680E-01  0.10445E+00  0.54515E-01  0.98860E-01  0.91304E-01  0.89845E-01  0.79142E-01  0.91237E-01  0.92972E-01  0.75956E-01  0.62529E-01  0.35533E-03  0.64620E-03  0.54339E-03  0.33117E-03  0.27890E-03  0.48416E-03  0.13977E-03  0.13499E-03  0.17937E-03  0.24143E-03  0.13455E-03  0.15088E-03  0.63678E-04  0.57134E-04  0.33822E-04  0.52982E-04  0.54630E-04  0.81580E-04  0.31528E-04
  0.10000E+01  0.18629E-04  0.11644E-04  0.97867E-03  0.95359E-03  0.95484E-03  0.12003E+00  0.91133E-01  0.11721E+00  0.55980E-01  0.11800E+00  0.10168E+00  0.21836E-01  0.21915E-01  0.21950E-01  0.96023E-01  0.89786E-01  0.14001E+00  0.16441E-03  0.21050E-03  0.19858E-03  0.18131E-03  0.95737E-04  0.94043E-04  0.14122E-03  0.80263E-04  0.11691E-03  0.55653E-04  0.54283E-04  0.10273E-03  0.89103E-05  0.60340E-05  0.35920E-05  0.43764E-05  0.46215E-05  0.54630E-05  0.33337E-06
  0.20000E+01  0.16702E-04  0.17918E-04  0.21530E-02  0.98082E-03  0.20008E-02  0.10075E+00  0.94594E-01  0.11410E+00  0.59650E-01  0.10501E+00  0.10623E+00  0.29732E-01  0.17908E-01  0.26523E-01  0.10297E+00  0.10202E+00  0.13264E+00  0.21979E-03  0.18708E-03  0.32766E-03  0.22375E-03  0.20054E-03  0.16964E-03  0.17378E-03  0.31198E-03  0.15222E-03  0.29689E-03  0.25327E-03  0.16874E-03  0.34411E-05  0.47609E-05  0.21759E-05  0.30455E-05  0.18483E-05  0.30010E-05  0.20459E-07
  0.30000E+01  0.18327E-04  0.17336E-04  0.19090E-02  0.13604E-02  0.20614E-02  0.13804E+00  0.95343E-01  0.80529E-01  0.56373E-01  0.80517E-01  0.11860E+00  0.34796E-01  0.16407E-01  0.22495E-01  0.98435E-01  0.10117E+00  0.14820E+00  0.26367E-03  0.20245E-03  0.24324E-03  0.31971E-03  0.21913E-03  0.19899E-03  0.47012E-03  0.32853E-03  0.41308E-03  0.31785E-03  0.47651E-03  0.26837E-03  0.16765E-05  0.19576E-05  0.17442E-05  0.70580E-06  0.73762E-06  0.89409E-06  0.15691E-08
  0.40000E+01  0.32026E-04  0.18099E-04  0.17871E-02  0.12926E-02  0.26472E-02  0.15130E+00  0.98017E-01  0.62183E-01  0.61071E-01  0.77339E-01  0.12860E+00  0.16228E-01  0.21242E-01  0.25316E-01  0.99461E-01  0.10021E+00  0.14910E+00  0.24590E-03  0.23381E-03  0.16706E-03  0.23845E-03  0.31815E-03  0.22606E-03  0.65178E-03  0.48987E-03  0.38073E-03  0.37160E-03  0.37494E-03  0.45257E-03  0.58135E-06  0.50533E-06  0.41564E-06  0.51378E-06  0.35406E-06  0.17521E-06  0.39341E-09
  0.50000E+01  0.37111E-04  0.16900E-04  0.21358E-02  0.26295E-02  0.16384E-02  0.13266E+00  0.60910E-01  0.54108E-01  0.10082E+00  0.10080E+00  0.13464E+00  0.21323E-01  0.21709E-01  0.13496E-01  0.10075E+00  0.13693E+00  0.11123E+00  0.28290E-03  0.14711E-03  0.19159E-03  0.23928E-03  0.15692E-03  0.21517E-03  0.55032E-03  0.53918E-03  0.51830E-03  0.51980E-03  0.51870E-03  0.28076E-03  0.16723E-06  0.24040E-06  0.15214E-06  0.21819E-06  0.19075E-06  0.85262E-07  0.67662E-09
  0.60000E+01  0.26778E-04  0.11923E-04  0.12679E-02  0.22949E-02  0.15188E-02  0.13706E+00  0.57076E-01  0.84221E-01  0.78914E-01  0.10413E+00  0.12594E+00  0.21972E-01  0.17479E-01  0.14752E-01  0.10082E+00  0.14684E+00  0.10155E+00  0.22581E-03  0.22698E-03  0.25115E-03  0.14554E-03  0.11763E-03  0.14481E-03  0.61786E-03  0.48048E-03  0.60875E-03  0.60485E-03  0.47532E-03  0.23275E-03  0.24631E-06  0.10557E-06  0.10669E-06  0.66721E-07  0.75405E-07  0.44842E-07  0.93365E-09
  0.70000E+01  0.23809E-04  0.18804E-04  0.75201E-03  0.46424E-02  0.25259E-02  0.13405E+00  0.71841E-01  0.69101E-01  0.92888E-01  0.78938E-01  0.13407E+00  0.21297E-01  0.22339E-01  0.14415E-01  0.10041E+00  0.14437E+00  0.10436E+00  0.13531E-03  0.19628E-03  0.16231E-03  0.23954E-03  0.12025E-03  0.12563E-03  0.68800E-03  0.46165E-03  0.35157E-03  0.66081E-03  0.54904E-03  0.26700E-03  0.18377E-06  0.81048E-07  0.49841E-07  0.80401E-07  0.53511E-07  0.17189E-07  0.91227E-09
  0.80000E+01  0.18115E-04  0.13870E-04  0.11407E-02  0.36894E-02  0.19240E-02  0.11461E+00  0.94220E-01  0.60566E-01  0.93059E-01  0.88417E-01  0.13632E+00  0.28062E-01  0.17698E-01  0.18329E-01  0.99735E-01  0.13605E+00  0.10227E+00  0.11680E-03  0.18850E-03  0.21604E-03  0.13453E-03  0.13939E-03  0.12447E-03  0.61156E-03  0.51472E-03  0.63625E-03  0.36678E-03  0.60151E-03  0.22430E-03  0.66382E-07  0.77262E-07  0.69368E-07  0.38147E-07  0.54472E-07  0.41406E-07  0.79418E-09
