The average electron(hole) population on different adiabatic wave function for one core sample. 
        time       wsit(1)      wsit(2)      wsit(3)      wsit(4)      wsit(5)      wsit(6)      wsit(7)      wsit(8)      wsit(9)     wsit(10)     wsit(11)     wsit(12)     wsit(13)     wsit(14)     wsit(15)     wsit(16)     wsit(17)     wsit(18)     wsit(19)     wsit(20)     wsit(21)     wsit(22)     wsit(23)     wsit(24)     wsit(25)     wsit(26)     wsit(27)     wsit(28)     wsit(29)     wsit(30)     wsit(31)     wsit(32)     wsit(33)     wsit(34)     wsit(35)     wsit(36)
         fs              1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36
  0.00000E+00  0.27924E-03  0.25170E-03  0.14478E-01  0.16972E-01  0.25643E-01  0.53116E-01  0.81335E-01  0.83505E-01  0.80251E-01  0.80426E-01  0.81791E-01  0.70660E-01  0.92973E-01  0.83294E-01  0.83588E-01  0.72523E-01  0.72894E-01  0.91372E-03  0.41416E-03  0.61046E-03  0.47696E-03  0.66884E-03  0.40940E-03  0.32074E-03  0.28997E-03  0.27192E-03  0.28782E-03  0.23124E-03  0.17691E-03  0.21004E-03  0.10366E-03  0.13942E-03  0.82712E-04  0.10043E-03  0.15215E-03  0.16053E-03
  0.10000E+01  0.32763E-05  0.82717E-05  0.42797E-01  0.45351E-01  0.12493E-01  0.58521E-01  0.47673E-01  0.11806E+00  0.55358E-01  0.10949E-01  0.50058E-01  0.54648E-01  0.98898E-01  0.13808E+00  0.61377E-01  0.13938E+00  0.59505E-01  0.37433E-03  0.38378E-03  0.38713E-03  0.41741E-03  0.46973E-03  0.48531E-03  0.41611E-03  0.44491E-03  0.38791E-03  0.61407E-03  0.37049E-03  0.23077E-03  0.35386E-03  0.26063E-03  0.25981E-03  0.18616E-03  0.21712E-03  0.33688E-03  0.24175E-03
  0.20000E+01  0.36141E-05  0.88164E-05  0.40534E-01  0.90329E-01  0.17624E-01  0.48540E-01  0.46462E-01  0.11304E+00  0.50951E-01  0.21641E-01  0.52245E-01  0.54050E-01  0.10150E+00  0.99842E-01  0.56904E-01  0.14243E+00  0.58903E-01  0.20219E-03  0.17025E-03  0.17003E-03  0.11247E-03  0.21919E-03  0.22624E-03  0.22460E-03  0.34066E-03  0.26715E-03  0.29525E-03  0.35425E-03  0.31749E-03  0.46716E-03  0.30246E-03  0.25297E-03  0.25434E-03  0.21199E-03  0.39608E-03  0.21552E-03
  0.30000E+01  0.51218E-05  0.58891E-05  0.40492E-01  0.91374E-01  0.23669E-01  0.42638E-01  0.53340E-01  0.11831E+00  0.52524E-01  0.12684E-01  0.54638E-01  0.55981E-01  0.96871E-01  0.97019E-01  0.54910E-01  0.14590E+00  0.55174E-01  0.14920E-03  0.24651E-03  0.12842E-03  0.14317E-03  0.93474E-04  0.11934E-03  0.22229E-03  0.14055E-03  0.26841E-03  0.34308E-03  0.17536E-03  0.23402E-03  0.44279E-03  0.38495E-03  0.37992E-03  0.29014E-03  0.14062E-03  0.33016E-03  0.22633E-03
  0.40000E+01  0.65631E-05  0.10535E-04  0.42361E-01  0.89204E-01  0.15428E-01  0.42018E-01  0.53225E-01  0.91441E-01  0.89756E-01  0.14811E-01  0.53760E-01  0.55289E-01  0.10075E+00  0.97475E-01  0.57707E-01  0.13910E+00  0.53401E-01  0.16045E-03  0.15535E-03  0.13489E-03  0.11603E-03  0.11903E-03  0.15140E-03  0.21452E-03  0.13678E-03  0.18233E-03  0.22682E-03  0.18786E-03  0.21979E-03  0.48042E-03  0.38452E-03  0.27526E-03  0.25639E-03  0.25222E-03  0.39143E-03  0.20597E-03
  0.50000E+01  0.65402E-05  0.51545E-05  0.44674E-01  0.90425E-01  0.18986E-01  0.42631E-01  0.47691E-01  0.82820E-01  0.88533E-01  0.19919E-01  0.53670E-01  0.54130E-01  0.96338E-01  0.10496E+00  0.55665E-01  0.14151E+00  0.54080E-01  0.13133E-03  0.11339E-03  0.14663E-03  0.13610E-03  0.18073E-03  0.57058E-04  0.11251E-03  0.12120E-03  0.11443E-03  0.23126E-03  0.18272E-03  0.11321E-03  0.34942E-03  0.32244E-03  0.33300E-03  0.48188E-03  0.33063E-03  0.29798E-03  0.19801E-03
  0.60000E+01  0.86484E-05  0.58208E-05  0.50236E-01  0.90034E-01  0.11258E-01  0.42330E-01  0.49957E-01  0.83868E-01  0.89450E-01  0.18327E-01  0.51372E-01  0.54594E-01  0.95458E-01  0.10019E+00  0.56117E-01  0.14549E+00  0.57153E-01  0.10934E-03  0.13454E-03  0.19821E-03  0.10176E-03  0.11276E-03  0.11931E-03  0.15407E-03  0.22476E-03  0.11151E-03  0.17841E-03  0.11743E-03  0.13202E-03  0.55757E-03  0.37029E-03  0.37456E-03  0.40915E-03  0.29130E-03  0.27301E-03  0.17476E-03
  0.70000E+01  0.70305E-05  0.15046E-04  0.49550E-01  0.99605E-01  0.53008E-02  0.43444E-01  0.47505E-01  0.86280E-01  0.83821E-01  0.20110E-01  0.51815E-01  0.54910E-01  0.98675E-01  0.95850E-01  0.53389E-01  0.14623E+00  0.59293E-01  0.17181E-03  0.16034E-03  0.19536E-03  0.18629E-03  0.10294E-03  0.12348E-03  0.15902E-03  0.12294E-03  0.11036E-03  0.99423E-04  0.15982E-03  0.14376E-03  0.49923E-03  0.35424E-03  0.39619E-03  0.35353E-03  0.39685E-03  0.28946E-03  0.17168E-03
  0.80000E+01  0.81691E-05  0.96440E-05  0.45323E-01  0.10366E+00  0.11835E-01  0.40533E-01  0.50159E-01  0.12473E+00  0.55653E-01  0.13648E-01  0.49750E-01  0.48953E-01  0.95288E-01  0.98285E-01  0.57466E-01  0.14300E+00  0.57524E-01  0.13778E-03  0.13392E-03  0.19461E-03  0.18156E-03  0.11969E-03  0.10753E-03  0.76962E-04  0.14773E-03  0.11380E-03  0.10202E-03  0.15658E-03  0.20984E-03  0.41702E-03  0.45826E-03  0.35567E-03  0.35893E-03  0.35113E-03  0.39486E-03  0.15495E-03
  0.90000E+01  0.62239E-05  0.99733E-05  0.49556E-01  0.99495E-01  0.14481E-01  0.43610E-01  0.47141E-01  0.12353E+00  0.54000E-01  0.78248E-02  0.53862E-01  0.49807E-01  0.91518E-01  0.10120E+00  0.59658E-01  0.14187E+00  0.58451E-01  0.11956E-03  0.13148E-03  0.10644E-03  0.11284E-03  0.13419E-03  0.96573E-04  0.14999E-03  0.10592E-03  0.19246E-03  0.10438E-03  0.10641E-03  0.14084E-03  0.39160E-03  0.38084E-03  0.57306E-03  0.24430E-03  0.40939E-03  0.33414E-03  0.14520E-03
  0.10000E+02  0.97052E-05  0.67618E-05  0.45815E-01  0.88281E-01  0.17694E-01  0.44707E-01  0.47139E-01  0.83768E-01  0.10132E+00  0.75531E-02  0.60207E-01  0.50489E-01  0.91755E-01  0.96591E-01  0.58288E-01  0.14259E+00  0.59620E-01  0.13845E-03  0.15791E-03  0.13003E-03  0.13557E-03  0.12691E-03  0.10433E-03  0.14052E-03  0.12462E-03  0.19824E-03  0.11918E-03  0.14459E-03  0.13133E-03  0.54679E-03  0.31322E-03  0.58329E-03  0.30186E-03  0.29266E-03  0.36537E-03  0.11464E-03
  0.11000E+02  0.81567E-05  0.65090E-05  0.52898E-01  0.44472E-01  0.38138E-01  0.56599E-01  0.54519E-01  0.87188E-01  0.95777E-01  0.11041E-01  0.92739E-01  0.56838E-01  0.89832E-01  0.97193E-01  0.16958E-01  0.14311E+00  0.58550E-01  0.14799E-03  0.14028E-03  0.15460E-03  0.12388E-03  0.18742E-03  0.61558E-04  0.13340E-03  0.21230E-03  0.15229E-03  0.11026E-03  0.95213E-04  0.98033E-04  0.41529E-03  0.38660E-03  0.55044E-03  0.39187E-03  0.36362E-03  0.30644E-03  0.98718E-04
  0.12000E+02  0.99769E-05  0.47801E-05  0.50435E-01  0.43499E-01  0.48813E-01  0.58929E-01  0.53300E-01  0.89100E-01  0.82057E-01  0.17662E-01  0.88351E-01  0.17046E-01  0.13629E+00  0.55060E-01  0.58318E-01  0.14296E+00  0.54118E-01  0.12636E-03  0.14708E-03  0.10913E-03  0.79259E-04  0.10198E-03  0.87317E-04  0.13400E-03  0.11240E-03  0.14557E-03  0.20341E-03  0.89908E-04  0.10591E-03  0.46635E-03  0.46947E-03  0.50919E-03  0.30319E-03  0.48417E-03  0.30996E-03  0.66036E-04
  0.13000E+02  0.80966E-05  0.13286E-04  0.45263E-01  0.46653E-01  0.53750E-01  0.19891E-01  0.87382E-01  0.93131E-01  0.82168E-01  0.16934E-01  0.94120E-01  0.52625E-01  0.93278E-01  0.52800E-01  0.56483E-01  0.14408E+00  0.57223E-01  0.13705E-03  0.13835E-03  0.10418E-03  0.95906E-04  0.13696E-03  0.80828E-04  0.18872E-03  0.19002E-03  0.17663E-03  0.12307E-03  0.68290E-04  0.12735E-03  0.43959E-03  0.50195E-03  0.60021E-03  0.40182E-03  0.28982E-03  0.34078E-03  0.59239E-04
  0.14000E+02  0.74021E-05  0.10677E-04  0.74269E-01  0.45908E-01  0.68169E-01  0.18790E-01  0.87795E-01  0.50381E-01  0.85579E-01  0.17404E-01  0.89581E-01  0.48688E-01  0.99223E-01  0.58822E-01  0.52767E-01  0.14241E+00  0.56119E-01  0.12179E-03  0.20380E-03  0.10269E-03  0.13062E-03  0.65361E-04  0.85503E-04  0.14464E-03  0.15752E-03  0.12902E-03  0.12543E-03  0.13737E-03  0.81267E-04  0.38792E-03  0.38969E-03  0.54982E-03  0.43430E-03  0.38559E-03  0.37135E-03  0.69084E-04
